,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,State-gov,,Bachelors,13,Never-married,Adm-clerical,Not-in-family,,,,,,United-States,<=50K
1,,,,,13,Married-civ-spouse,Exec-managerial,Husband,,,,0,13,,
2,53,,,11th,,,Handlers-cleaners,,Black,,,0,40,,<=50K
3,28,Private,,,,Married-civ-spouse,Prof-specialty,,,Female,0,0,40,,
4,,Private,284582,,14,,Exec-managerial,,White,Female,0,0,40,United-States,<=50K
5,,,,9th,5,Married-spouse-absent,,,Black,,0,0,,,
6,31,Private,,Masters,,,,,,,14084,0,,,>50K
7,,Private,280464,,,Married-civ-spouse,Exec-managerial,Husband,,,,,,United-States,
8,,Private,122272,,,,Adm-clerical,Own-child,,,,0,30,United-States,
9,40,Private,121772,,11,Married-civ-spouse,Craft-repair,,Asian-Pac-Islander,Male,,0,40,,>50K
10,34,,245487,,4,,,,,Male,,,45,,<=50K
11,,Self-emp-not-inc,176756,HS-grad,,Never-married,,Own-child,,,,,,,
12,38,,28887,,7,Married-civ-spouse,,,,,0,0,50,,<=50K
13,,,292175,,,Divorced,,,,Female,0,0,,United-States,>50K
14,40,,193524,Doctorate,,Married-civ-spouse,Prof-specialty,Husband,White,Male,,0,60,,
15,,Private,302146,HS-grad,,Separated,,Unmarried,,,,0,,United-States,<=50K
16,,,,,,Married-civ-spouse,Farming-fishing,,Black,,0,0,40,,
17,,Private,109015,,9,Divorced,Tech-support,Unmarried,White,,0,,40,United-States,
18,,Local-gov,216851,Bachelors,13,,Tech-support,,,Male,,0,40,United-States,>50K
19,,,,Some-college,10,,,,Asian-Pac-Islander,Male,,,,,
20,,,367260,,9,,,Not-in-family,,,,0,,United-States,
21,49,,193366,,,Married-civ-spouse,,Husband,White,Male,,0,,United-States,
22,20,Private,266015,Some-college,10,,,Own-child,,Male,0,0,,United-States,
23,45,Private,,Bachelors,13,,Exec-managerial,Own-child,,,,1408,,United-States,<=50K
24,,,311512,Some-college,10,,Other-service,Husband,Black,Male,0,,15,United-States,
25,48,Private,,,7,Never-married,,Unmarried,,,,0,40,,
26,,,,Some-college,,Never-married,,Own-child,,Male,0,0,40,United-States,
27,,,,HS-grad,9,Married-AF-spouse,,,,,,,,,<=50K
28,,,,,,,,Husband,,,,,38,,>50K
29,53,Self-emp-not-inc,88506,Bachelors,,,,,,,,,40,,
30,24,Private,172987,,13,,,,White,Male,0,,50,United-States,<=50K
31,,Private,,HS-grad,,Separated,,,,,,0,40,,
32,25,Private,,,,,,Not-in-family,,,0,,35,,<=50K
33,57,Federal-gov,,,,,,,Black,Male,0,,40,,>50K
34,,Private,144361,HS-grad,,,,,White,Male,0,,,United-States,
35,41,,,Assoc-voc,11,Married-civ-spouse,Craft-repair,,White,,,0,,United-States,
36,,Private,,Assoc-voc,,Never-married,Prof-specialty,,,Male,,0,43,,<=50K
37,25,Private,32275,,10,Married-civ-spouse,Exec-managerial,Wife,Other,,,,,United-States,
38,18,Private,,HS-grad,9,Never-married,,Own-child,,Female,0,,,,<=50K
39,,,51835,Prof-school,,,Prof-specialty,Wife,,,,1902,,Honduras,>50K
40,47,Self-emp-inc,,,,,Exec-managerial,,White,,0,0,,United-States,
41,,,,,3,Married-civ-spouse,,,White,Male,0,0,,Mexico,
42,,Private,147372,HS-grad,9,Married-civ-spouse,,,White,Male,0,0,,,
43,30,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,,2407,,40,United-States,
44,,,293936,,4,Married-spouse-absent,,,White,Male,,,40,,
45,48,Private,,HS-grad,9,Married-civ-spouse,,,,,,0,40,,
46,42,,116632,Doctorate,,Married-civ-spouse,,Husband,White,,,,,United-States,
47,,Private,,,10,Divorced,Tech-support,,White,Male,0,0,,United-States,<=50K
48,,,,,,,Craft-repair,Husband,,,,,40,,
49,28,,,,,Divorced,,,White,,0,,40,United-States,<=50K
50,,,,,,,Exec-managerial,,White,Male,,0,50,,
51,,,200681,,,,,,,,0,0,,United-States,
52,,Private,101509,Some-college,,,Prof-specialty,,,Male,0,0,,,<=50K
53,31,Private,,,,Separated,,Own-child,Black,Female,0,,40,,
54,23,Private,,,10,,,,,,0,,40,United-States,
55,79,,,,,,Prof-specialty,,White,,0,,,,
56,27,,,HS-grad,9,,Other-service,,,,,0,,,
57,,Private,32214,,,,,Husband,,,0,,,United-States,
58,67,,212759,10th,6,Married-civ-spouse,,,,,0,,2,United-States,
59,18,,309634,,7,Never-married,,,White,,,0,,United-States,<=50K
60,,Local-gov,125927,,4,Married-civ-spouse,,Husband,White,,,,,United-States,<=50K
61,46,Private,,,9,Married-civ-spouse,Other-service,,White,,0,0,,,
62,,,159937,HS-grad,,Married-civ-spouse,,,,Male,0,0,,United-States,
63,53,,346253,,9,,Sales,Own-child,White,,0,0,,United-States,
64,,Local-gov,,HS-grad,,Married-civ-spouse,,,,,,0,40,United-States,>50K
65,,,202051,,,Married-civ-spouse,Prof-specialty,Husband,White,,,,50,United-States,
66,,Private,54334,9th,5,,,,,,0,0,,United-States,
67,,Federal-gov,,Doctorate,,,Prof-specialty,Not-in-family,,Female,0,0,50,United-States,>50K
68,57,Private,,,11,,,Husband,White,,,0,,,
69,37,,,Some-college,,,Craft-repair,,,Female,0,0,40,United-States,
70,,Private,,Some-college,10,,Machine-op-inspct,Unmarried,,Female,0,0,25,,<=50K
71,30,,117747,,9,Married-civ-spouse,Sales,,Asian-Pac-Islander,,,,35,,<=50K
72,34,,226296,Bachelors,13,,,Husband,,,,0,40,United-States,
73,29,Local-gov,,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,,Male,0,0,,,
74,48,,,Doctorate,,Married-civ-spouse,Prof-specialty,Husband,,Male,,,,United-States,
75,48,Private,,Assoc-acdm,12,,,,,,,,40,,<=50K
76,32,Federal-gov,249409,,,Never-married,Other-service,,,Male,0,,40,,
77,,,124191,Masters,14,,,Husband,,Male,0,,,United-States,>50K
78,44,Private,,Bachelors,13,,Exec-managerial,Husband,,Male,15024,0,,United-States,>50K
79,47,Self-emp-not-inc,,Masters,,,Prof-specialty,,White,,,,,United-States,<=50K
80,,,188300,Some-college,10,,Tech-support,Own-child,,,,,,United-States,
81,,,,HS-grad,,,,,,,0,,40,United-States,
82,32,Self-emp-inc,,,9,,,Husband,,,,0,40,,
83,,,,,,,,Own-child,,Female,,,,United-States,<=50K
84,30,Private,,,,,Handlers-cleaners,,White,Male,,,40,United-States,
85,,,,,13,Never-married,Sales,,White,Male,,0,,,<=50K
86,38,,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,,White,Male,,,,United-States,>50K
87,,Self-emp-not-inc,,HS-grad,9,,Other-service,,White,,0,,50,,
88,36,Private,,HS-grad,9,Never-married,,Own-child,,Female,0,0,40,United-States,
89,53,Private,95647,,5,Married-civ-spouse,Handlers-cleaners,,White,,,0,50,United-States,
90,49,Local-gov,,Assoc-voc,,,,Husband,,Male,0,,,United-States,
91,55,Private,,Some-college,,,Sales,Husband,White,,,0,56,,
92,21,Private,,,,,Other-service,Own-child,White,Female,,0,,United-States,
93,40,Private,,,13,,Exec-managerial,,,,0,0,,,<=50K
94,30,Private,77143,Bachelors,13,,,Own-child,Black,Male,,0,,,
95,,State-gov,,,,,Prof-specialty,Husband,White,Male,,0,50,,
96,,,301606,,10,,Other-service,Own-child,Black,,,0,35,United-States,
97,,Private,287828,Bachelors,13,,Exec-managerial,Wife,,Female,0,0,,,>50K
98,35,,129305,HS-grad,9,,,,,,0,0,40,United-States,
99,,Private,,Some-college,10,,,,White,Male,0,0,,United-States,
100,28,Private,,Assoc-acdm,,,,,White,,0,,,,<=50K
101,,Private,,,,Never-married,Other-service,,White,,,1762,40,,<=50K
102,38,,120985,,9,,,,,,,0,,United-States,<=50K
103,38,Federal-gov,,Masters,,Married-civ-spouse,,,White,,0,0,40,Iran,>50K
104,43,Self-emp-not-inc,56920,HS-grad,9,,Craft-repair,Husband,,Male,,,60,,<=50K
105,27,Private,163127,Assoc-voc,11,,,,White,,0,0,,,<=50K
106,20,Private,34310,,,,,Own-child,,,,0,20,,<=50K
107,,Self-emp-inc,66614,HS-grad,,Married-civ-spouse,Craft-repair,Husband,,Male,,0,,,<=50K
108,,Private,105376,Some-college,,,Tech-support,,,,0,0,40,,<=50K
109,,,,HS-grad,9,,Transport-moving,,Black,Female,,0,,United-States,
110,,Private,,,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,,,<=50K
111,,,,,9,Widowed,Other-service,,,,0,,,United-States,<=50K
112,,Private,,,7,,,Husband,White,Male,0,,,,
113,,,174662,Some-college,,Divorced,,Not-in-family,,Female,0,0,,United-States,<=50K
114,47,Local-gov,186009,,,Divorced,,,White,Female,0,,38,Mexico,<=50K
115,34,,198183,HS-grad,9,Never-married,Adm-clerical,,White,Female,,,40,United-States,<=50K
116,52,,,HS-grad,9,,,,White,,,,45,United-States,>50K
117,,,,,9,,Craft-repair,,White,,,,46,United-States,<=50K
118,,Private,,,,,,Not-in-family,White,Male,0,,,United-States,<=50K
119,71,,,Some-college,,Separated,,Unmarried,,,,,2,United-States,<=50K
120,29,Private,,HS-grad,,Divorced,Craft-repair,,,,,,60,United-States,<=50K
121,68,,,,2,,,Not-in-family,White,,0,0,20,United-States,<=50K
122,25,Private,252752,,,Never-married,,Unmarried,White,,,0,,,<=50K
123,28,Private,88419,HS-grad,,,,Not-in-family,,Female,0,0,,England,
124,,,201080,Masters,,,,,,Male,0,0,,,>50K
125,,Private,207157,Some-college,,,,,,,,,40,Mexico,
126,46,,,Masters,,,,Unmarried,,,,,40,,
127,,Private,25828,11th,7,Never-married,Handlers-cleaners,,,,0,,,United-States,
128,66,Local-gov,,Assoc-voc,,Widowed,Prof-specialty,,White,,,0,,United-States,
129,,Private,124953,HS-grad,,Never-married,Other-service,,,Male,,1980,40,,
130,51,Private,96062,Some-college,,Married-civ-spouse,,,White,Male,,,,United-States,>50K
131,28,State-gov,149624,,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,,,40,United-States,
132,27,,,HS-grad,,Married-spouse-absent,Sales,Unmarried,White,,,0,,United-States,
133,,,,HS-grad,9,,,Own-child,,,0,0,40,United-States,
134,,Private,,,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,,0,40,,<=50K
135,18,Private,,,,,,,,,,,12,United-States,<=50K
136,33,Private,37274,Bachelors,13,,Prof-specialty,Husband,,,0,0,,,
137,30,,,Some-college,,Never-married,Craft-repair,,,Male,0,,,,
138,,,286370,7th-8th,,,Machine-op-inspct,,,,,0,40,,>50K
139,34,Private,304030,HS-grad,9,,Adm-clerical,Husband,,Male,,0,40,United-States,<=50K
140,41,,,,13,Divorced,Exec-managerial,,White,,,,,United-States,
