,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,33.2,State-gov,119635.8,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Female,1064.3,89.1,40.0,United-States,<=50K
1,62.5,Private,169396.9,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,1166.4,0.0,13.0,United-States,<=50K
2,53.0,Private,178383.4,11th,7.0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,1141.6,0.0,40.0,United-States,<=50K
3,28.0,Private,243980.2,HS-grad,8.9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
4,41.8,Private,284582.0,Masters,14.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
5,44.8,Private,186245.9,9th,5.0,Married-spouse-absent,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
6,31.0,Private,128812.2,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,14084.0,0.0,40.0,United-States,>50K
7,36.1,Private,280464.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,1194.4,89.1,40.0,United-States,<=50K
8,24.7,Private,122272.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,1064.3,0.0,30.0,United-States,<=50K
9,40.0,Private,121772.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,1164.2,0.0,40.0,United-States,>50K
10,34.0,Private,245487.0,9th,4.0,Married-civ-spouse,Craft-repair,Husband,White,Male,1146.0,94.9,45.0,United-States,<=50K
11,24.6,Self-emp-not-inc,176756.0,HS-grad,9.0,Never-married,Transport-moving,Own-child,White,Male,1055.0,0.0,40.0,United-States,<=50K
12,38.0,Private,28887.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
13,45.7,Private,292175.0,Bachelors,13.5,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
14,40.0,Private,193524.0,Doctorate,15.9,Married-civ-spouse,Prof-specialty,Husband,White,Male,1166.4,0.0,60.0,United-States,<=50K
15,30.0,Private,302146.0,HS-grad,9.0,Separated,Machine-op-inspct,Unmarried,Black,Female,1068.4,0.0,40.0,United-States,<=50K
16,38.3,Private,308435.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
17,36.6,Private,109015.0,HS-grad,9.0,Divorced,Tech-support,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
18,41.1,Local-gov,216851.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,1166.4,0.0,40.0,United-States,>50K
19,28.8,Private,596382.6,Some-college,10.0,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,1168.6,0.0,40.0,United-States,<=50K
20,27.2,Private,367260.0,HS-grad,9.0,Never-married,Prof-specialty,Not-in-family,White,Male,1162.4,0.0,40.0,United-States,<=50K
21,49.0,Local-gov,193366.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,1158.0,0.0,40.0,United-States,<=50K
22,20.0,Private,266015.0,Some-college,10.0,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
23,45.0,Private,177614.5,Bachelors,13.0,Divorced,Exec-managerial,Own-child,White,Female,1157.6,1408.0,40.0,United-States,<=50K
24,26.7,Private,311512.0,Some-college,10.0,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,15.0,United-States,<=50K
25,48.0,Private,318607.6,11th,7.0,Never-married,Machine-op-inspct,Unmarried,White,Female,1102.2,0.0,40.0,United-States,<=50K
26,19.0,Private,210925.1,Some-college,10.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
27,45.0,Private,112378.8,HS-grad,9.0,Married-AF-spouse,Transport-moving,Own-child,White,Male,1151.4,0.0,40.0,United-States,<=50K
28,36.5,Private,80620.8,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,1164.2,0.0,38.0,United-States,>50K
29,53.0,Self-emp-not-inc,88506.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,1164.2,0.0,40.0,United-States,<=50K
30,24.0,Private,172987.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,94.9,50.0,United-States,<=50K
31,38.3,Private,175817.4,HS-grad,9.0,Separated,Craft-repair,Not-in-family,White,Male,1033.0,0.0,40.0,United-States,<=50K
32,25.0,Private,234433.9,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,35.0,United-States,<=50K
33,57.0,Federal-gov,254689.5,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0.0,0.0,40.0,United-States,>50K
34,45.6,Private,144361.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
35,41.0,Private,129367.6,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,1164.2,0.0,40.0,United-States,<=50K
36,34.2,Private,139699.3,Assoc-voc,11.0,Never-married,Prof-specialty,Not-in-family,White,Male,1120.8,0.0,43.0,United-States,<=50K
37,25.0,Private,32275.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Wife,Other,Female,1155.4,89.1,40.0,United-States,<=50K
38,18.0,Private,106146.8,HS-grad,9.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
39,38.0,Federal-gov,51835.0,Prof-school,14.9,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,1095.6,1902.0,40.0,Honduras,>50K
40,47.0,Self-emp-inc,180365.67,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
