,sepal length,sepal width,petal length,petal width,type
0,,3.5,1.4,,Iris-setosa
1,4.9,,,0.2,Iris-setosa
2,4.7,,,0.2,Iris-setosa
3,4.6,3.1,,,Iris-setosa
4,5.0,3.6,,0.2,
5,5.4,,1.7,,
6,,,1.4,,
7,,3.4,,0.2,
8,4.4,,1.4,,
9,4.9,,1.5,0.1,Iris-setosa
10,,,1.5,,
11,4.8,3.4,1.6,0.2,Iris-setosa
12,,,,0.1,
13,4.3,,1.1,,
14,,3.9,1.3,,
15,,,1.7,0.3,Iris-setosa
16,5.1,,,,
17,,,1.0,0.2,Iris-setosa
18,4.8,,,,Iris-setosa
19,,,1.6,,Iris-setosa
20,5.2,3.5,1.5,0.2,
21,,,,,
22,,,,0.2,
23,,3.1,1.6,,
24,5.4,3.4,1.5,,Iris-setosa
25,5.5,,,0.2,Iris-setosa
26,,,1.5,0.1,
27,5.5,,,0.2,Iris-setosa
28,4.9,3.1,,,Iris-setosa
29,,,,0.2,Iris-setosa
30,,,1.5,0.2,Iris-setosa
31,5.0,3.5,,,Iris-setosa
32,5.0,,,0.6,Iris-setosa
33,,,,,
34,,3.8,1.6,0.2,
35,4.6,,1.4,,Iris-setosa
36,5.3,3.7,,0.2,
37,5.0,3.3,1.4,,Iris-setosa
38,7.0,3.2,,1.4,Iris-versicolor
39,,,4.5,1.5,
40,,,4.9,1.5,
41,5.5,2.3,,1.3,Iris-versicolor
42,,,4.6,,
43,5.7,,4.5,1.3,Iris-versicolor
44,6.3,3.3,4.7,,Iris-versicolor
45,,2.4,3.3,,Iris-versicolor
46,,2.9,,1.3,Iris-versicolor
47,,,,,Iris-versicolor
48,,2.0,3.5,,Iris-versicolor
49,,,4.0,1.0,
50,6.1,,4.7,1.4,Iris-versicolor
51,5.6,2.9,,1.3,Iris-versicolor
52,5.6,3.0,,,
53,,,4.8,1.8,Iris-versicolor
54,,,,1.5,
55,,2.8,,,Iris-versicolor
56,6.6,3.0,4.4,1.4,
57,6.8,2.8,,1.4,
58,,,4.5,1.5,
59,,,3.5,1.0,Iris-versicolor
60,5.8,2.7,3.9,1.2,Iris-versicolor
61,,,,,
62,,3.0,4.5,,
63,6.0,,4.5,1.6,
64,,,,,Iris-versicolor
65,6.3,2.3,,1.3,Iris-versicolor
66,5.6,3.0,4.1,1.3,
67,5.5,,4.0,1.3,
68,5.5,,4.4,,
69,6.1,,,1.4,Iris-versicolor
70,5.8,,,,Iris-versicolor
71,5.0,2.3,3.3,,
72,,,,,Iris-versicolor
73,,,4.2,,Iris-versicolor
74,,2.9,,,Iris-versicolor
75,,2.5,3.0,,Iris-versicolor
76,5.7,,,1.3,Iris-versicolor
77,7.1,3.0,,2.1,
78,,,,,
79,6.5,3.0,5.8,2.2,
80,7.6,,,2.1,Iris-virginica
81,4.9,,4.5,1.7,Iris-virginica
82,,,6.3,1.8,Iris-virginica
83,,2.5,,,Iris-virginica
84,7.2,3.6,6.1,2.5,
85,,3.2,5.1,,Iris-virginica
86,,2.7,5.3,1.9,
87,,,5.0,,
88,,,,,Iris-virginica
89,,3.8,,,Iris-virginica
90,7.7,,,,
91,,2.2,5.0,,
92,6.9,,5.7,,Iris-virginica
93,,,4.9,,
94,,,,2.1,Iris-virginica
95,7.2,,6.0,,Iris-virginica
96,6.2,,,,
97,6.4,2.8,5.6,2.1,Iris-virginica
98,,,,,Iris-virginica
99,7.4,,6.1,,
100,,,,2.0,Iris-virginica
101,,2.8,,2.2,
102,,,5.1,1.5,
103,,2.6,,1.4,Iris-virginica
104,6.4,,5.5,1.8,
105,,,,2.1,
106,6.7,3.1,,2.4,Iris-virginica
107,,3.1,,2.3,Iris-virginica
108,5.8,,5.1,1.9,
109,6.7,3.0,5.2,,
110,,,5.0,,Iris-virginica
111,,3.0,,,
112,,,,1.8,Iris-virginica
