,sepal length,sepal width,petal length,petal width,type
0,5.769999999999999,3.5,1.4,0.6099999999999999,Iris-setosa
1,4.9,3.0,1.6999999999999997,0.2,Iris-setosa
2,4.7,3.0,1.6999999999999997,0.2,Iris-setosa
3,4.6,3.1,1.69,0.6099999999999999,Iris-setosa
4,5.0,3.6,1.6799999999999997,0.2,Iris-setosa
5,5.4,3.0,1.7,0.6099999999999999,Iris-setosa
6,5.769999999999999,3.0,1.4,0.6099999999999999,Iris-setosa
7,5.799999999999999,3.4,2.6699999999999995,0.2,Iris-versicolor
8,4.4,3.0,1.4,0.6099999999999999,Iris-setosa
9,4.9,3.0,1.5,0.1,Iris-setosa
10,5.769999999999999,3.0,1.5,0.6099999999999999,Iris-setosa
11,4.8,3.4,1.6,0.2,Iris-setosa
12,5.799999999999999,3.0,2.6699999999999995,0.1,Iris-versicolor
13,4.3,3.0,1.1,0.6099999999999999,Iris-setosa
14,5.769999999999999,3.9,1.3,0.6099999999999999,Iris-setosa
15,5.769999999999999,3.0,1.7,0.3,Iris-setosa
16,5.1,3.0,1.6999999999999997,0.6099999999999999,Iris-setosa
17,5.769999999999999,3.0,1.0,0.2,Iris-setosa
18,4.8,3.0,1.6999999999999997,0.6099999999999999,Iris-setosa
19,5.769999999999999,3.0,1.6,0.6099999999999999,Iris-setosa
20,5.2,3.5,1.5,0.2,Iris-setosa
21,5.799999999999999,3.0,3.9699999999999998,1.23,Iris-versicolor
22,5.799999999999999,3.0,2.6699999999999995,0.2,Iris-versicolor
23,5.769999999999999,3.1,1.6,0.6099999999999999,Iris-setosa
24,5.4,3.4,1.5,0.6099999999999999,Iris-setosa
25,5.5,3.0,1.6999999999999997,0.2,Iris-setosa
26,5.769999999999999,3.0,1.5,0.1,Iris-setosa
27,5.5,3.0,1.6999999999999997,0.2,Iris-setosa
28,4.9,3.1,1.69,0.6099999999999999,Iris-setosa
29,5.769999999999999,3.0,1.6999999999999997,0.2,Iris-setosa
30,5.769999999999999,3.0,1.5,0.2,Iris-setosa
31,5.0,3.5,1.6799999999999997,0.6099999999999999,Iris-setosa
32,5.0,3.0,1.6999999999999997,0.6,Iris-setosa
33,5.799999999999999,3.0,3.9699999999999998,1.23,Iris-versicolor
34,5.769999999999999,3.8,1.6,0.2,Iris-setosa
35,4.6,3.0,1.4,0.6099999999999999,Iris-setosa
36,5.3,3.7,1.6799999999999997,0.2,Iris-setosa
