,0,1,2,3,4,5,6,7,8,9
0,50.0,21.0,77.0,0.0,28.0,0.0,27.0,48.0,22.0,2.0
1,55.0,0.0,92.0,-0.5,0.0,26.0,36.0,92.0,56.0,4.0
2,53.0,0.0,82.0,0.0,52.0,-5.0,29.0,30.0,2.0,1.0
3,37.0,0.0,76.0,0.0,28.0,3.98,40.0,48.0,8.0,1.0
4,37.0,0.0,79.0,0.0,34.0,-26.0,43.0,46.0,2.0,1.0
5,55.0,-1.0,95.0,-3.0,54.0,-4.0,40.0,41.0,2.0,1.0
6,54.0,8.0,77.0,0.0,28.0,0.0,23.0,48.0,24.0,4.0
7,37.0,0.0,78.0,-2.0,12.0,0.0,42.0,65.0,24.0,1.0
8,45.0,0.0,84.0,0.0,46.0,20.0,38.0,37.0,0.0,1.0
9,38.0,2.0,77.0,0.0,38.0,7.0,39.0,38.0,0.0,1.0
10,37.0,0.0,78.0,0.0,-2.0,5.0,41.0,81.0,40.0,1.0
11,41.0,0.0,100.0,0.0,38.0,-8.0,59.0,60.7,2.0,1.0
12,44.1,3.0,77.0,1.5,44.0,2.0,33.0,33.0,0.0,1.0
13,106.7,0.3,108.0,5.4,70.0,-12.6,1.5,38.0,36.0,5.0
14,37.2,3.3,76.0,0.0,28.0,0.0,39.97,48.0,8.0,1.0
15,37.0,4.0,80.0,0.0,-2.0,0.0,43.0,83.0,40.0,1.0
16,55.0,-1.0,98.0,0.0,52.0,8.0,42.0,46.0,4.0,4.0
17,55.0,3.0,88.0,3.0,54.0,0.0,32.0,33.0,2.0,1.0
18,37.0,0.0,105.0,0.0,36.0,3.0,68.0,69.0,2.0,1.0
19,49.0,0.0,107.0,0.0,46.0,-14.2,58.0,60.0,2.0,1.0
20,79.0,5.0,83.0,0.0,-46.0,0.0,4.2,130.0,126.0,5.0
21,59.0,4.0,84.0,0.0,60.0,24.0,25.0,24.0,0.0,1.0
22,37.0,0.0,108.0,0.0,30.0,-21.0,71.0,75.5,6.0,1.0
23,56.0,3.0,97.0,0.0,46.0,9.0,41.0,50.73,10.0,4.0
24,49.0,0.0,77.0,0.0,46.0,-9.0,29.0,31.0,2.0,1.0
25,46.0,2.0,77.0,0.0,44.0,-20.33,32.0,34.0,2.0,1.0
26,56.0,0.0,81.0,0.0,56.0,0.0,24.0,24.0,0.0,1.0
27,56.0,0.0,79.0,0.0,16.0,3.0,23.0,63.0,40.0,4.0
28,37.0,0.0,105.0,0.0,34.0,4.0,68.0,71.0,4.0,1.0
29,76.0,0.3,81.0,-2.0,-40.0,13.0,5.0,122.0,118.0,5.0
30,56.0,0.0,80.0,-0.1,56.0,7.0,24.0,23.0,0.0,1.0
31,41.0,1.0,85.0,0.0,38.0,0.0,44.0,46.0,2.0,1.0
32,56.0,-4.0,97.0,0.0,52.0,-2.0,41.0,45.0,4.0,4.0
33,37.0,2.0,75.4,0.0,36.0,0.0,38.0,39.0,2.0,1.0
34,56.0,1.0,99.0,0.0,50.0,16.0,42.0,49.0,7.4,4.0
35,56.0,-4.0,88.0,0.0,56.0,0.0,31.0,31.0,0.0,1.0
36,37.0,-0.9,81.0,-2.0,38.0,-9.0,43.0,42.0,0.0,1.0
37,46.4,0.0,84.0,4.0,46.0,0.0,38.0,37.5,0.0,1.0
38,53.0,3.0,81.0,0.0,54.0,0.0,27.0,26.0,0.0,1.0
39,103.5,2.1,104.0,0.0,70.0,0.0,1.0,34.9,34.0,5.0
40,45.0,-0.42,86.0,0.0,44.0,-3.27,40.55,42.0,2.0,1.0
41,42.0,4.0,77.0,0.0,42.0,1.0,35.0,35.0,0.0,1.0
42,45.0,0.0,79.0,0.0,44.0,-4.0,34.0,35.0,2.0,1.0
43,56.0,0.0,95.9,-1.0,44.0,0.0,40.0,52.0,12.0,4.0
44,42.0,0.0,83.0,2.0,42.0,0.0,41.0,42.0,2.0,1.0
45,49.0,3.0,82.0,0.0,46.0,-8.0,33.0,35.0,2.0,1.0
46,41.0,1.0,86.0,3.0,42.0,6.0,45.0,45.0,0.0,1.0
47,49.0,0.0,84.0,0.0,46.0,-4.0,36.0,38.0,2.0,1.0
48,41.0,0.0,79.0,0.0,38.0,-23.0,38.0,41.0,2.0,1.0
49,51.0,0.0,79.0,0.0,52.0,2.0,27.2,27.0,0.0,1.0
50,56.0,0.0,79.0,1.4,-2.0,-24.0,24.0,82.0,58.0,4.0
51,44.0,0.0,82.0,-1.0,44.0,0.0,38.0,38.1,0.0,1.0
52,37.0,0.0,75.0,-1.0,36.0,0.0,38.0,39.0,0.0,1.0
53,37.0,1.0,77.0,-2.0,34.0,0.0,40.0,43.0,2.0,1.0
54,51.0,0.0,79.0,0.0,50.0,-6.0,28.0,30.0,2.0,1.0
55,46.0,-2.7,76.0,-1.0,46.0,0.0,29.0,29.0,0.0,1.0
56,49.0,0.0,77.0,5.0,50.0,5.0,28.0,28.0,0.0,1.0
57,45.0,0.0,108.0,0.0,44.0,-3.0,62.0,64.0,2.0,1.0
58,42.0,0.0,79.0,-2.0,42.0,0.0,36.0,37.0,2.0,1.0
59,37.0,0.0,78.0,0.0,20.0,-10.0,41.0,57.0,16.0,1.0
60,38.0,4.0,76.0,0.0,38.0,4.0,38.0,37.0,0.0,1.0
61,40.0,0.0,80.0,0.0,38.0,-2.0,40.0,41.0,2.0,1.0
62,47.0,2.0,95.0,3.0,46.0,0.0,48.0,49.0,0.0,1.0
63,45.0,0.0,79.0,5.0,44.0,0.0,34.0,35.0,2.0,1.0
64,55.0,0.0,95.0,0.0,36.0,13.0,40.0,59.0,20.0,4.0
65,56.0,0.0,95.9,0.0,56.0,15.0,40.0,39.0,0.0,1.0
66,51.0,-3.0,83.0,0.0,50.0,-14.0,32.0,33.0,2.0,1.0
67,37.0,0.0,75.0,0.0,34.0,10.0,38.0,41.0,2.0,1.0
68,37.0,0.0,75.0,0.0,28.0,16.0,38.0,46.0,8.0,1.0
69,49.0,0.0,87.0,-7.0,46.0,-25.0,38.0,41.0,2.0,1.0
70,49.0,0.0,83.0,0.0,46.0,-14.0,34.0,37.0,2.0,1.0
71,80.5,0.2,84.0,2.3,-12.2,15.07,4.0,97.1,94.0,5.0
72,55.0,0.0,96.0,0.0,46.0,23.0,41.0,50.0,8.0,4.0
73,42.0,0.0,81.0,-2.0,42.0,-4.0,38.8,39.0,0.0,1.0
74,79.0,0.0,83.0,0.0,-40.0,3.0,4.0,125.0,120.0,5.0
75,55.0,0.0,82.0,1.0,-10.0,0.0,26.0,92.0,66.0,4.0
76,56.0,0.0,92.0,0.0,-2.0,-4.0,36.0,95.0,58.0,4.0
77,46.0,0.0,80.0,0.0,46.0,0.0,34.0,34.0,0.0,1.0
78,56.0,0.0,78.0,0.0,8.0,-19.0,22.0,70.0,48.0,4.0
79,37.0,0.0,83.0,0.0,34.0,0.6,47.0,50.0,2.0,1.0
80,53.0,-0.2,87.0,-5.0,52.0,-10.0,34.0,35.0,2.0,1.0
81,37.0,-1.0,79.0,-4.0,36.0,-6.0,42.0,43.2,2.0,1.0
82,44.0,-1.0,82.0,-4.0,44.0,0.0,38.0,38.0,0.0,1.0
83,48.0,-3.0,95.0,0.0,46.0,-4.0,47.0,49.0,2.0,1.0
84,42.0,5.0,79.0,5.0,42.0,0.0,37.0,38.0,0.0,1.0
85,37.0,0.0,106.0,-1.0,34.0,0.0,68.0,72.0,4.0,1.0
86,44.0,-4.0,82.0,-3.0,44.0,0.0,38.0,38.0,0.0,1.0
87,45.0,0.0,83.0,0.0,46.0,19.0,38.0,37.0,0.0,1.0
88,53.9,2.0,81.4,-2.0,54.0,0.0,28.0,29.0,0.0,1.0
89,55.0,0.0,76.3,0.0,-14.0,-4.0,21.0,92.0,70.0,4.0
90,40.8,3.0,78.0,0.0,38.0,-1.0,37.0,39.0,2.0,1.0
91,37.0,0.0,78.0,-5.0,8.0,2.6,41.0,70.0,30.0,1.0
92,57.0,-0.76,91.0,0.0,56.0,0.0,34.0,34.0,0.0,1.0
93,37.0,0.0,77.0,0.0,8.0,-8.0,41.0,70.0,28.4,1.0
94,49.0,4.0,84.0,0.0,50.0,2.0,35.0,35.0,0.0,1.0
95,37.0,0.0,77.0,1.2,-12.0,-19.36,41.0,90.0,50.0,1.0
96,50.0,-4.0,85.0,0.0,50.0,0.0,35.0,36.0,2.0,1.0
97,51.0,-2.0,87.0,0.0,52.0,5.0,36.0,35.0,0.0,1.0
98,37.0,0.0,93.0,0.0,12.0,7.0,56.0,81.0,24.0,1.0
99,43.0,0.0,81.0,3.0,42.0,-4.0,38.0,40.0,2.0,1.0
100,54.8,-2.0,108.0,1.0,54.0,-3.0,52.0,54.1,2.0,1.0
101,37.0,0.0,81.0,-1.0,36.0,-18.0,43.0,44.0,2.0,1.0
102,45.0,-1.0,78.0,-3.0,44.0,-5.0,33.0,34.0,2.0,1.0
103,41.0,0.0,77.0,7.0,38.0,0.0,36.0,38.0,2.0,1.0
104,48.0,1.0,86.0,0.0,46.0,0.0,39.0,39.5,2.0,1.0
105,43.0,0.0,81.0,0.0,44.0,15.0,37.0,37.0,0.0,1.0
106,55.2,0.0,95.0,0.0,52.0,-3.0,40.0,44.0,4.0,4.0
107,37.0,-0.4,92.0,0.0,24.0,3.0,55.0,69.0,14.0,1.0
108,46.0,1.0,83.0,0.0,44.0,-9.0,37.0,39.0,2.0,1.0
109,49.0,0.1,77.0,3.0,46.0,-30.0,28.0,30.0,2.0,1.0
110,45.0,0.0,83.0,0.0,44.0,2.0,38.0,39.0,0.0,1.0
111,56.0,0.0,81.0,0.0,-20.0,-9.28,25.0,102.0,76.0,4.0
112,48.0,-0.7,109.0,-6.0,46.0,0.0,61.0,62.0,2.0,1.0
113,37.0,0.0,83.0,0.0,34.0,5.0,46.0,49.0,4.0,1.0
114,50.0,-4.0,83.0,0.0,50.0,0.0,33.0,34.0,2.0,1.0
115,47.0,-2.0,75.0,-1.0,46.0,0.0,28.0,28.0,0.0,1.0
116,48.0,1.0,81.0,-1.0,46.0,0.0,33.0,34.0,2.0,1.0
117,38.0,0.0,102.0,-4.0,34.0,0.0,65.0,69.0,3.6,1.0
118,37.0,0.0,106.0,-2.7,28.0,-1.5,68.95,78.0,8.0,1.0
119,37.0,0.0,77.0,0.0,-6.0,-19.0,41.0,85.0,44.0,1.0
