,0,1,2,3,4,5,6,7,8,9
0,50,21,77,0,28,0,27,48,22,2
1,55,0,92,0,0,26,36,92,56,4
2,37,0,76,0,28,18,40,48,8,1
3,37,0,79,0,34,-26,43,46,2,1
4,85,0,88,-4,6,1,3,83,80,5
5,56,0,81,0,-4,11,25,86,62,4
6,55,-1,95,-3,54,-4,40,41,2,1
7,53,8,77,0,28,0,23,48,24,4
8,37,0,101,-7,28,0,64,73,8,1
9,38,2,77,0,38,7,39,38,0,1
10,37,0,78,0,-2,5,41,81,40,1
11,41,0,89,1,38,-16,48,50,2,1
12,47,0,85,-2,46,-4,38,39,0,1
13,49,0,79,0,46,-5,30,32,2,1
14,49,3,82,0,50,4,33,33,0,1
15,37,-318,105,-2,36,-4,68,69,0,1
16,44,3,77,0,44,2,33,33,0,1
17,106,2,108,0,70,0,1,38,36,5
18,37,-5,76,0,28,0,40,48,8,1
19,49,0,100,0,50,19,52,51,0,1
20,45,-1,87,-2,44,-4,43,43,0,1
21,37,4,80,0,-2,0,43,83,40,1
22,55,0,86,8,54,0,31,32,0,1
23,37,0,74,0,26,-1,38,48,10,1
24,49,0,107,0,46,-16,58,60,2,1
25,59,4,84,0,60,24,25,24,0,1
26,37,0,108,0,30,-21,71,77,6,1
27,56,3,97,0,46,9,41,51,10,4
28,39,5,77,0,38,0,37,38,0,1
29,51,-5,81,0,52,0,30,30,0,1
30,49,0,77,0,46,-9,29,31,2,1
31,46,2,77,0,44,-19,32,34,2,1
32,56,0,81,0,56,0,24,24,0,1
33,56,0,79,0,16,3,23,63,40,4
34,37,0,105,0,34,4,68,71,4,1
35,76,0,81,-2,-40,13,5,122,118,5
36,56,0,80,0,56,7,24,23,0,1
37,41,2,76,0,42,11,35,35,0,1
38,41,1,85,0,38,0,44,46,2,1
39,56,-4,97,0,52,-2,41,45,4,4
40,49,0,95,1,50,2,46,46,0,1
41,47,5,79,0,46,0,32,32,0,1
42,104,7,105,7,70,0,1,35,34,5
43,101,-3,102,-4,72,0,1,29,28,5
44,42,4,77,0,42,1,35,35,0,1
45,45,0,79,0,44,-4,34,35,2,1
46,56,0,96,-1,44,0,40,52,12,4
47,56,0,81,0,-10,-3,25,92,66,4
48,42,0,83,2,42,0,41,42,2,1
49,51,1,88,0,52,7,37,37,0,1
50,49,3,82,0,46,-8,33,35,2,1
51,41,1,86,3,42,6,45,45,0,1
52,49,0,84,0,46,-4,36,38,2,1
53,41,0,79,0,38,-23,38,41,2,1
54,51,0,79,0,52,2,27,27,0,1
55,55,-1,79,-4,20,-12,24,59,34,4
56,41,0,77,0,42,5,37,36,0,1
57,46,-3,80,0,46,0,34,34,0,1
58,44,0,82,-1,44,0,38,38,0,1
59,45,0,83,0,46,31,37,36,0,1
60,37,0,77,-1,36,4,40,41,0,1
61,37,0,75,-1,36,0,38,39,0,1
62,37,1,77,-2,34,0,40,43,2,1
63,51,0,79,0,50,-6,28,30,2,1
64,49,0,77,5,50,5,28,28,0,1
65,45,0,108,0,44,-3,62,64,2,1
66,42,0,79,-2,42,0,36,37,2,1
67,37,0,78,0,20,-10,41,57,16,1
68,37,0,76,-3,36,-10,39,40,2,1
69,53,5,84,0,52,-5,31,32,2,1
70,38,4,76,0,38,4,38,37,0,1
71,40,0,80,0,38,-2,40,41,2,1
72,47,2,95,3,46,0,48,49,0,1
73,45,0,79,5,44,0,34,35,2,1
74,55,0,95,0,36,13,40,59,20,4
75,56,0,95,0,56,15,40,39,0,1
76,51,-3,83,0,50,-14,32,33,2,1
77,37,0,75,0,28,16,38,46,8,1
78,81,-2,84,0,-18,-30,4,103,98,5
79,43,0,95,-4,42,-4,52,54,2,1
80,41,0,84,2,42,25,43,43,0,1
81,49,0,87,-7,46,-25,38,41,2,1
82,49,0,83,0,46,-14,34,37,2,1
83,37,-3,77,0,20,0,40,56,16,1
84,81,0,84,0,-12,29,4,97,94,5
85,55,1,84,0,54,-1,29,30,2,1
86,79,0,83,0,-40,3,4,125,120,5
87,56,-3,87,0,56,0,31,30,0,1
88,55,0,82,1,-10,0,26,92,66,4
89,56,0,92,0,-2,-4,36,95,58,4
90,46,0,80,0,46,0,34,34,0,1
91,56,0,78,0,8,-19,22,70,48,4
92,37,0,77,0,2,17,40,74,34,1
93,37,-1,79,-4,36,-6,42,43,2,1
94,44,-1,82,-4,44,0,38,38,0,1
95,48,-3,95,0,46,-4,47,49,2,1
96,42,5,79,5,42,0,37,38,0,1
97,37,0,106,-1,34,0,68,72,4,1
98,37,0,81,5,36,-3,43,44,2,1
99,44,-4,82,-3,44,0,38,38,0,1
100,45,0,83,0,46,19,38,37,0,1
101,55,0,77,0,-14,-4,21,92,70,4
102,41,3,78,0,38,-1,37,39,2,1
103,37,0,76,0,38,14,38,37,0,1
104,37,0,76,-5,28,6,39,47,8,1
105,50,-4,85,0,50,0,35,36,2,1
106,51,-2,87,0,52,5,36,35,0,1
107,37,0,93,0,12,7,56,81,24,1
108,43,0,81,3,42,-4,38,40,2,1
109,55,-2,108,0,54,-3,52,53,2,1
110,37,0,81,-1,36,-18,43,44,2,1
111,45,-1,78,-3,44,-5,33,34,2,1
112,41,0,77,7,38,0,36,38,2,1
113,48,1,87,0,46,0,39,41,2,1
114,43,0,81,0,44,15,37,37,0,1
115,56,0,96,0,52,-3,40,44,4,4
116,37,0,92,0,24,3,55,69,14,1
117,46,1,83,0,44,-9,37,39,2,1
118,49,-2,77,3,46,-30,28,30,2,1
119,45,0,83,0,44,2,38,39,0,1
120,56,0,81,0,-20,-4,25,102,76,4
121,48,-3,109,-6,46,0,61,62,2,1
122,50,-4,83,0,50,0,33,34,2,1
123,47,-2,75,0,46,0,28,28,0,1
124,48,1,81,-1,46,0,33,34,2,1
125,55,0,82,0,-42,-9,26,126,100,4
126,50,3,107,0,50,0,57,58,0,1
127,38,0,102,-4,34,0,65,69,4,1
128,37,0,106,17,28,0,69,77,8,1
129,37,0,77,0,-6,-19,41,85,44,1
130,37,0,79,0,26,-22,42,53,12,1
131,36,-1,81,0,36,0,45,45,0,1
132,55,0,78,0,0,-3,23,78,56,4
133,58,5,88,0,56,0,30,31,2,1
134,48,0,88,-4,46,0,40,41,2,1
135,54,-1,86,-1,54,-2,32,32,0,1
136,56,4,96,0,52,10,40,44,4,4
137,37,0,97,0,24,-30,60,73,14,1
138,37,0,78,0,16,-11,42,63,22,1
139,37,0,78,0,12,-10,41,65,24,1
140,56,0,78,5,-22,0,22,101,80,4
141,54,2,80,0,54,0,26,26,0,1
142,55,0,77,-2,28,0,21,48,28,4
143,55,-1,79,0,16,0,23,63,40,4
144,43,-3,86,0,42,-16,42,44,2,1
145,41,-1,89,0,38,-14,48,50,2,1
146,39,0,107,-2,38,0,68,68,0,1
147,46,0,107,0,46,4,61,60,0,1
148,37,4,76,0,34,-10,39,43,4,1
149,44,1,76,0,44,8,32,32,0,1
150,53,0,79,0,54,14,26,24,0,1
151,44,0,81,-1,44,5,37,37,0,1
152,56,3,99,0,38,0,43,60,18,4
153,56,0,93,-7,50,0,37,44,6,4
154,37,0,75,-2,34,0,38,41,2,1
155,52,4,84,-1,52,-2,31,32,0,1
156,80,0,85,6,-40,10,5,126,122,5
157,55,0,92,0,-4,22,36,97,60,4
158,44,2,75,0,44,11,31,31,0,1
159,43,-5,83,0,42,-9,39,41,2,1
160,41,-1,76,0,38,-24,35,37,2,1
161,45,0,86,0,44,-10,41,42,2,1
162,55,0,77,0,6,-11,22,72,50,4
163,67,-2,110,0,68,0,43,43,0,1
164,56,0,108,0,54,-14,52,53,2,1
165,42,0,86,-3,42,0,44,44,0,1
166,56,0,84,0,54,-19,28,30,2,1
167,38,2,80,0,38,4,42,41,0,1
168,45,-2,83,0,44,-7,37,39,2,1
169,46,0,88,0,46,0,41,41,0,1
170,43,0,77,0,42,0,34,36,2,1
171,45,2,76,-3,44,-5,31,32,0,1
172,37,0,81,2,26,0,44,55,10,1
173,83,0,86,0,-4,0,3,92,88,5
174,43,0,87,0,42,-6,44,46,2,1
175,56,4,98,-4,42,0,42,57,14,4
176,46,2,78,0,46,9,32,32,0,1
177,37,0,79,0,26,-4,42,53,12,1
178,43,-1,83,0,42,-6,39,41,2,1
179,55,0,95,-2,50,0,40,46,6,4
180,56,3,89,0,56,0,33,32,0,1
181,37,0,78,0,0,-11,42,78,36,1
182,48,1,87,-6,46,-4,39,41,2,1
183,37,0,90,0,30,9,53,59,6,1
184,55,0,96,0,46,9,41,50,8,4
185,51,-3,84,4,52,1,33,32,0,1
186,37,0,78,0,12,11,41,65,24,1
187,37,0,97,-6,34,0,59,63,4,1
188,45,-1,77,2,44,0,32,33,0,1
189,49,0,84,0,50,18,35,35,0,1
190,37,2,90,0,28,0,53,62,8,1
191,70,57,82,0,-42,-4,12,126,114,2
192,61,-2,111,0,60,0,50,52,2,1
193,49,0,95,3,50,4,46,46,0,1
194,45,2,86,6,44,0,41,42,2,1
195,56,0,78,0,44,1,22,34,12,4
196,49,0,78,0,50,3,29,29,0,1
197,39,3,77,0,38,0,38,38,0,1
198,55,-1,79,-8,20,-13,23,58,34,4
199,56,0,86,0,56,15,31,30,0,1
200,37,0,81,0,18,-26,44,63,18,1
201,41,0,82,-2,38,-3,41,43,2,1
202,45,-3,88,0,44,0,44,44,0,1
203,37,0,83,0,8,24,46,75,30,1
204,84,6,89,0,6,-6,5,84,78,5
205,37,0,79,-1,6,-23,43,74,32,1
206,37,0,81,0,38,7,43,42,0,1
207,43,0,77,0,42,-19,34,35,2,1
208,56,-1,98,4,50,23,42,49,6,4
209,50,1,78,-2,50,0,28,29,2,1
210,39,3,86,0,38,0,48,48,0,1
211,43,0,81,0,42,-10,37,39,2,1
212,37,0,79,0,36,9,42,43,2,1
213,45,0,93,2,44,0,49,50,0,1
214,37,0,79,-3,36,-1,41,43,2,1
215,79,6,83,1,-40,13,4,124,120,5
216,36,-1,76,0,36,0,39,39,0,1
217,37,3,77,0,36,0,41,41,0,1
218,37,0,77,0,26,-19,41,52,10,1
219,45,0,79,0,46,14,34,33,0,1
220,54,4,77,0,28,0,23,48,26,4
221,43,-5,77,0,44,19,34,33,0,1
222,41,0,83,2,38,-1,42,44,2,1
223,43,0,77,10,42,-34,34,36,2,1
224,56,2,81,4,-4,0,25,86,62,4
225,55,0,82,0,-32,9,26,115,90,4
226,50,1,90,3,50,0,39,41,2,1
227,45,0,84,8,44,-8,39,41,2,1
228,85,0,88,-3,6,0,3,83,80,5
229,47,-2,106,0,46,0,59,60,0,1
230,37,-6,78,0,10,0,42,68,26,1
231,37,-38,106,-104,30,-17,69,75,6,3
232,58,0,91,2,56,0,33,34,2,1
233,46,0,78,-7,46,5,32,32,0,1
234,56,0,82,0,56,10,26,25,0,1
235,55,0,92,0,46,-3,37,46,8,4
236,39,-2,86,0,38,0,46,47,0,1
237,51,2,81,-5,50,0,30,32,2,1
238,37,0,75,0,20,11,38,54,16,1
239,41,-2,80,0,38,-20,39,41,2,1
240,53,0,86,0,52,-10,33,34,2,1
241,46,2,88,0,46,3,42,41,0,1
242,37,0,78,0,6,-4,41,73,32,1
243,44,0,79,-2,44,0,35,35,0,1
244,38,-3,76,0,38,0,38,37,0,1
245,52,4,91,0,52,0,38,39,0,1
246,37,0,93,0,16,4,55,77,22,1
247,44,4,82,-7,44,1,38,38,0,1
248,37,0,79,-4,24,0,42,55,14,1
249,46,0,87,-7,46,0,41,41,0,1
250,41,0,79,0,38,0,39,41,2,1
251,56,0,80,0,54,-15,24,26,2,1
252,82,1,86,0,-6,0,3,94,90,5
253,44,1,88,0,44,4,44,44,0,1
254,46,1,87,0,46,7,41,41,0,1
255,52,-3,88,0,52,0,35,36,0,1
256,37,0,78,0,-2,-6,42,81,40,1
257,37,0,84,0,18,-25,47,66,18,1
258,42,-4,85,0,42,0,43,44,2,1
259,78,-2,82,0,-40,0,4,123,120,5
260,48,0,88,0,46,0,39,41,2,1
261,78,0,82,-2,-40,0,4,123,120,5
262,43,1,77,0,42,0,34,35,2,1
263,107,-2,108,-2,70,-28,1,38,38,5
264,41,0,106,0,38,-28,64,67,2,1
265,37,0,76,0,34,13,39,42,4,1
266,53,0,103,-1,52,-17,50,51,2,1
267,42,2,75,0,42,0,33,34,0,1
268,49,-1,81,0,50,5,33,32,0,1
269,56,4,95,0,44,26,40,51,12,4
270,44,-4,77,0,44,4,34,34,0,1
271,49,-2,83,0,50,0,34,34,0,1
272,56,0,78,0,12,19,22,65,42,4
273,37,0,77,0,2,-11,40,75,34,1
274,55,0,82,0,-24,-16,26,108,82,4
275,37,0,83,0,6,-5,47,78,32,1
276,55,0,95,0,46,27,40,49,8,4
277,46,4,77,0,44,-21,32,34,2,1
278,51,1,81,0,52,12,29,29,0,1
279,37,0,106,0,28,-9,69,78,8,1
280,54,3,83,-3,54,0,29,29,0,1
281,62,0,109,0,62,23,48,47,0,1
282,55,0,93,0,50,25,37,44,6,4
283,44,0,82,1,44,1,38,38,0,1
284,45,0,81,0,44,-3,36,37,2,1
285,56,0,77,0,20,-28,22,57,36,4
286,37,-1,76,-3,20,-7,39,55,16,1
287,56,0,79,0,12,11,23,66,42,4
288,45,0,88,2,44,0,44,44,0,1
289,44,0,87,-5,44,0,43,43,0,1
290,37,-3,77,0,38,8,39,38,0,1
291,37,0,77,1,20,0,40,56,16,1
292,37,-15,78,0,10,0,42,68,26,1
293,56,1,80,0,56,1,24,23,0,1
294,47,-4,86,0,46,0,39,39,0,1
295,57,0,82,0,56,0,25,25,0,1
296,41,1,108,0,42,10,66,66,0,1
297,62,-2,108,0,60,0,45,48,2,1
298,43,0,86,0,44,21,43,42,0,1
299,55,0,87,-1,56,18,32,30,0,1
300,45,-4,81,1,44,-21,36,37,2,1
301,41,-1,100,0,42,0,59,59,0,1
302,49,-1,79,0,50,1,30,30,0,1
303,37,0,104,-2,16,-14,67,89,22,1
304,55,0,92,0,30,-7,37,61,24,4
305,55,0,98,-3,50,18,42,49,6,4
306,56,3,85,0,56,23,29,28,0,1
307,44,2,83,0,44,9,39,39,0,1
308,106,0,107,-5,70,0,1,37,36,5
309,37,0,78,0,12,-9,41,65,24,1
310,42,0,79,6,42,0,36,37,2,1
311,37,0,93,-7,12,0,55,80,24,1
312,66,0,109,0,68,4,43,42,0,1
313,37,0,79,3,8,0,42,71,30,1
314,84,1,87,0,-4,0,3,92,88,5
315,52,-3,84,0,52,0,31,32,0,1
316,49,0,95,0,46,-6,47,49,2,1
317,37,0,95,0,18,22,58,77,20,1
318,44,0,81,2,42,-12,37,39,2,1
319,37,0,76,0,20,-20,40,55,16,1
320,45,0,82,0,44,-11,37,38,2,1
321,37,0,78,0,2,-24,42,75,34,1
322,43,0,81,-7,42,0,38,40,2,1
323,41,-1,81,0,42,0,39,39,0,1
324,55,0,82,0,-38,-6,26,121,94,4
325,45,0,79,0,46,5,34,33,0,1
326,37,0,79,0,10,224,42,69,26,1
327,43,-1,76,0,44,19,32,32,0,1
328,56,-2,97,2,42,-16,41,56,14,4
329,56,2,88,0,54,-5,32,33,2,1
330,48,0,81,-4,46,0,32,34,2,1
331,37,2,97,0,34,-2,60,64,4,1
332,55,0,78,-1,0,-3,23,78,56,4
333,56,0,96,4,34,0,40,62,22,4
