,0,1,2,3,4,5,6,7,8,9
0,,,,0,28,0,,,22,
1,,,,,,26,,92,56,
2,,,,,,,,,,1
3,,,76,,28,18,40,,,
4,,,,0,,-26,,46,,
5,85,,88,,,,,,80,
6,56,0,,,,,,86,62,4
7,,,77,0,,0,,,24,
8,,0,,,,,64,,,
9,45,,,0,,20,,,0,
10,,2,,0,,,39,38,,
11,,,,,,,41,81,,
12,41,0,,,38,,,,,
13,,0,,0,,,30,,,
14,,,,,,,,,,
15,,,,,70,,,,,5
16,,,76,,,,40,48,,1
17,45,,87,,44,,,,,
18,,,,,,0,,,40,
19,55,,98,,,,,,,
20,,0,86,8,,,,,,1
21,,3,88,,54,,,,2,
22,,,74,,,,38,48,,
23,,,,0,,,,,2,
24,,,,0,,,,60,,
25,,5,,,,0,,,126,
26,,,,,,,,27,,
27,,,84,0,,24,25,,,
28,,0,108,,,,71,77,,1
29,,,81,,,0,,,,
30,46,2,77,,44,,,,,
31,,,,0,56,,,,,
32,56,0,79,,,3,,63,,4
33,,,105,,,,68,,,1
34,41,,,,,,,,0,
35,,,,,,,44,,2,
36,56,-4,,,,,41,,4,
37,,,,1,,2,46,46,,1
38,37,,,,,0,38,,,
39,,,88,,,,,,,
40,,-3,,,,,,,,
41,,0,,4,,,38,38,,
42,41,,,,,14,,,0,
43,,3,,0,54,,,,,1
44,,5,,0,,,,,0,1
45,,,,,70,0,1,,,
46,,,,,72,0,,,28,5
47,,0,,0,,,,42,2,
48,42,,77,,42,,,35,,
49,,,,0,,-4,,,,
50,,,80,0,,,,,,1
51,56,,96,-1,,,,,,
52,,,,2,,,41,,,1
53,49,,,0,,,,35,2,
54,41,1,,,,6,,45,,
55,,0,,,,,36,,,1
56,,0,77,0,,,,36,,
57,46,,80,,,,,,0,
58,56,,79,0,,,24,,,
59,45,,,,,,,36,0,1
60,37,0,77,-1,,,,41,,1
61,37,,,,36,0,,,0,1
62,,,,,,,40,,,1
63,,,,,,-6,,,,1
64,,,,,,,,,0,
65,49,,,,,,,28,,
66,,,,,44,,,,2,1
67,42,,,-2,,,,,,
68,37,0,,,,,,,,
69,,,76,-3,,,,,2,
70,,,,,52,-5,31,,,
71,,2,,,,,,,,1
72,,,79,,,,,35,,
73,41,,,,,0,,,,1
74,,,95,0,,,40,,,
75,,,83,,,,,,2,1
76,,0,75,,,,,41,,
77,,,,0,28,,38,46,,
78,,-2,,,,-30,4,,98,5
79,,0,95,,,,52,54,2,
80,41,,,2,,,43,,0,
81,,,87,,,-25,,,,1
82,,,,,46,,34,,,
83,,,,0,,,40,56,,
84,,,,,54,-1,,,,
85,,,,,46,,,,8,
86,79,,,,,,,125,120,
87,,-5,,0,60,6,25,,0,1
88,,,87,,,,,30,,
89,55,0,,,-10,,26,92,,4
90,56,,,,,-19,,,,4
91,,,87,-5,,,,,2,
92,,,82,-4,44,0,,,0,1
93,,,,,,,,49,2,
94,,,79,,,0,37,38,0,
95,37,,,,,,68,,,
96,,,,,,,,,0,
97,,0,,0,,19,,,,
98,,,83,,,,,,0,
99,41,,,0,38,,37,,2,
100,,,,,,0,,,30,
101,,,77,0,,,41,70,,
102,,,,-5,,,39,,,
103,,,,,,,35,35,,1
104,37,,,,,-10,41,,,
105,50,,85,,,,35,,,1
106,,-2,,,,5,,35,,
107,,,93,,,,,,,
108,,,,,54,-12,26,,,
109,,,,,,,,,,
110,55,-2,108,0,54,,52,,,
111,,,,,,-5,,,,
112,48,,,0,46,,39,,2,
113,,,,0,44,,,,0,
114,46,,,,,,,,2,
115,,-2,,3,,,,30,,
116,45,,83,,44,,,,,
117,,,,,,,25,,76,
118,48,,,,,,61,,2,
119,,,83,0,,,,,4,
120,48,,81,,46,,,,,
121,,,,,,,26,,,
122,,,,0,50,,,58,,
123,,,,-4,,,,,,1
124,37,,,17,,0,69,,,
125,,,77,0,,,,,,1
126,,,,,26,,,,,
127,43,,84,,,13,,,0,
128,,,,,36,,,45,0,
129,,,80,0,46,,35,34,,1
130,55,,,0,,,,,,
131,,,,,,,,,,
132,48,,88,,,,40,,,
133,105,-1,,2,70,,,,,
134,,,,,,,,,,1
135,,,96,,52,10,,,4,
136,,,,,24,,,,,
137,,-3,109,2,46,0,,,0,
138,37,,78,,,,,,,1
139,,,78,,-22,,,,,4
140,55,,,,-24,,,108,,4
141,,,80,,54,,,26,,
142,,0,,-2,,,,,,
143,37,,104,,,,,,,
144,55,,79,0,,0,23,,,
145,,,,,,,,,2,
146,,,,,,0,,68,0,
147,,,,,46,,,,0,1
148,,,,,34,,39,,,1
149,,,,,,,,,0,
150,,,93,-7,,0,,,,
151,37,,,-2,,0,,,2,
152,,4,,-1,,-2,,,,
153,,,,,,,5,126,122,
154,,,,,36,4,,,,
155,55,0,92,,,,36,97,,
156,44,2,75,,,,,,,
157,,,,0,42,,,,2,1
158,,,,,44,-10,,,,
159,67,-2,110,0,,,,,0,
160,,,,,,,,53,2,1
161,,,86,-3,,,44,,,
162,,,84,0,54,,28,30,,
163,,,,,38,4,42,,,
164,45,,,,,,,,,
165,,,,-1,,,,39,0,
166,,,,,44,,,39,2,
167,53,,88,,,,,,0,
168,,,,,52,,,31,,
169,41,0,81,,,,,,,
170,46,,,,,,,,,1
171,,,,,,,34,,2,
172,,2,76,,,,,,,
173,41,1,,,42,4,55,55,,
174,37,0,,,26,,,,,
175,,,,,,,3,92,,
176,,4,,,,,42,,14,
177,,,,0,26,,42,,,
178,,,,,,-6,,,2,1
179,,,,1,,,,,14,
180,55,,,,,0,40,,6,4
181,,,,,56,,,,,
182,37,,78,0,0,-11,,,,
183,,,,-6,,,,41,,1
184,51,,,,,,,,,1
185,37,,,,34,,,,,
186,,,77,,,,32,33,,
187,,,,,50,,35,35,0,1
188,53,,,4,,,,,,1
189,,,,1,,,,,,1
190,,,86,,44,0,,,,1
191,45,,79,,46,,33,32,,
192,,,,,,,,,,
193,49,,78,,,,,,0,1
194,,3,77,,,0,38,,0,
195,,-1,79,,,,,,,
196,,,,,56,,,,,
197,,,81,,18,-26,,63,,
198,,,,-2,38,,,,2,
199,,-3,,0,44,,,,0,1
200,,,,,,,,,2,
201,84,6,,,,,,,,
202,,0,,,,,,74,32,
203,,0,,,38,,43,42,0,
204,43,,,0,,,,,,1
205,,,,,,,42,49,,4
206,39,3,,0,38,0,48,48,,
207,58,,91,,,0,,,0,
208,,,93,,,0,,50,,1
209,38,,,0,,8,,,0,
210,,6,,,,,,124,120,5
211,,,88,,,,,,,
212,,,,0,,,,,0,1
213,37,,,,,-19,,,,
214,,,79,0,,,,,0,
215,,4,77,,28,,,,,
216,,,77,,,,34,,0,1
217,41,0,83,,,,,44,,
218,,0,77,10,42,,,36,2,1
219,,2,81,4,,0,25,86,,
220,,0,,,,,,,90,
221,,,,,24,,,,14,
222,,,,,50,,39,41,,
223,48,,,,,,,,2,1
224,85,,,-3,,0,,,,
225,47,,,,,,59,,,
226,37,,,0,,0,42,68,,
227,,0,,,,0,,34,,
228,,,,-7,,,,,,
229,,,95,,,-10,,46,,4
230,56,,,,,,,,,
231,,,86,,52,-10,,,,
232,,,,,,3,,,,
233,38,,76,,,,,37,0,
234,,,91,,,0,,39,,
235,,,,,16,,,77,,
236,56,,,,-22,23,21,100,,
237,,,,,,1,,,0,
238,37,0,79,,24,,,,,
239,46,0,,,46,0,41,,,
240,,,,,,,,34,0,
241,,,,0,,,39,,,1
242,,,,,54,-15,,,,
243,82,,,,-6,,,,,
244,,-5,,,,0,,,2,
245,,,,0,,4,44,,,
246,,,,0,,7,,,,1
247,52,,88,,,,,36,,1
248,,,,,,,,,2,
249,,,84,,,,,,,1
250,,0,,,,0,,,,
251,,,,,,0,4,123,120,
252,,,,0,46,0,,,,1
253,,0,,,,,,,,
254,,,,-2,-40,0,,,120,
255,,,77,0,,,,,,
256,,,,,,,64,,,1
257,,,,0,34,,39,42,,
258,,,,,,,,,2,1
259,,,,,,,40,,0,
260,,,103,,52,,50,,2,1
261,,,106,,18,,,88,,1
262,,,77,,,,,,0,1
263,,4,,0,,26,,51,,4
264,41,1,107,,,,,,,1
265,,,,0,,5,,,46,4
266,,0,,,,1,,,,
267,,-4,77,,,,,34,0,
268,56,0,,0,,,,,42,4
269,52,,81,,52,,,,0,
270,,,77,,,,,75,,
271,55,,82,,-24,-16,26,,,4
272,37,,,,6,,,,32,
273,,,77,0,,-21,,,,
274,51,,,,52,12,,,0,1
275,,,,,28,,,78,8,
276,,,,,,0,,29,,
277,,0,103,,,,1,31,,
278,,,,,62,,48,47,,
279,,,,,44,,,,0,
280,,0,81,,,,,,,
281,,0,,,,,23,66,,
282,,0,,,44,0,,,,
283,,,87,-5,,0,,43,,
284,37,,77,0,,,39,,,
285,,0,,1,20,,,,,
286,,,78,,,,,,26,
287,,-4,86,0,,,,,,1
288,49,,107,,,,58,,,
289,,,,,,10,,,,1
290,,,,,10,,,68,,
291,,,,,,0,,,,
292,,,,,44,,,,,
293,,0,,,56,18,,,0,
294,45,-4,,,44,,,37,,
295,,,,,,,,,,
296,,,,0,50,,,,,
297,55,,,,,,,,,
298,,,108,,70,,,,38,
299,55,,98,,,,,,,
300,,2,,,44,,,,,
301,49,,,,,,,37,,
302,,,,,,,,37,,
303,,,78,0,,-9,,,,
304,56,0,,0,,,,,,
305,,,,6,42,,,,,1
306,,,,,,0,55,80,,
307,,,,,68,,,,,1
308,37,,,,8,,42,,,
309,,,84,,,,,,,
310,,,,,46,-6,47,,,
311,,,,0,50,0,,32,,
312,,,81,,,,,,2,
313,,,,,,,37,38,,
314,37,,78,,,,,,34,1
315,,0,,-7,,,38,,,
316,,-1,,,42,,39,,,
317,,0,,0,,-12,,72,,
318,45,0,79,,,,,,,
319,,,79,,,,,,,1
320,,-1,,,,,,41,,
321,,,76,,,19,,32,,
322,,,97,,,,,,,
323,,,,,54,,,,2,
324,,,,,,,,,,
325,,2,,0,,,60,,,
326,,,78,,,,,78,,
327,,0,,4,,,,,,
328,,,86,,,-19,,44,,
329,,,,,50,,41,,,
330,,,,-3,50,,46,,0,
331,,,,,,-16,,58,,
332,,,108,,,,,,,
333,,,,,,,,,,1
334,,,76,0,,3,,39,,
335,80,,84,,,0,,,,
336,,0,,,,,,,2,
337,,,,,44,,43,,,
338,,-1,86,,50,,,,0,1
339,,-1,,,,-6,,37,,
340,,-1,78,,,,,,0,1
341,,0,,,,-23,46,52,,
342,,,,,,,,,,
343,,,89,0,,,33,,0,
344,,-1,,,,0,,,,
345,37,,,0,,,,,,
346,37,,,,18,,,,,1
347,85,0,,,6,26,,,,
