,0,1,2,3,4,5,6,7,8,9
0,50,21,77,0,28,0,27,,22,2
1,,,82,0,52,-5,29,,2,1
2,,0,76,0,28,18,40,,8,
3,,0,79,0,34,-26,43,,2,1
4,,-1,95,-3,54,-4,40,,,1
5,,,77,0,,0,,48,24,4
6,,0,84,0,46,20,38,,0,
7,38,,,0,38,7,39,38,0,
8,,,,0,38,-8,59,,2,1
9,,,89,1,,-16,48,,2,1
10,,0,85,-2,46,-4,38,,,1
11,49,0,,0,,-5,30,32,2,1
12,,-5,76,0,28,0,40,48,8,
13,,0,100,0,50,19,52,,0,
14,45,-1,,-2,,-4,43,,0,1
15,,0,74,0,26,-1,38,,10,
16,,0,107,0,,-16,58,,2,1
17,51,0,,0,52,29,28,27,0,
18,59,4,84,0,,24,25,24,0,1
19,,0,,0,30,-21,,77,,1
20,,-5,81,0,52,0,30,,0,1
21,49,0,77,0,,-9,29,31,2,1
22,,,77,0,44,-19,32,,2,
23,56,0,79,0,16,3,,,40,
24,,0,,-2,-40,13,5,122,118,
25,56,,80,0,56,7,24,23,0,1
26,,2,76,0,42,11,35,35,0,
27,41,1,,0,38,0,,,2,1
28,,-4,97,0,,-2,41,,4,4
29,49,0,,1,50,2,46,,0,1
30,,2,76,0,36,0,38,,,1
31,56,,99,0,,16,42,49,,4
32,37,-3,81,-2,38,-9,43,42,0,1
33,,,84,4,46,0,38,38,0,1
34,41,,86,2,42,14,45,,0,
35,,,,0,54,0,27,26,0,
36,47,,79,,,0,32,,0,1
37,104,7,105,7,70,0,1,,34,5
38,,-3,,-4,72,,1,,28,5
39,42,4,,0,,1,35,,0,1
40,,0,79,0,,-4,34,,,1
41,,,80,,36,15,43,,2,1
42,41,,,,42,,45,,0,1
43,,0,77,0,336,4910,41,,-298,1
44,,0,84,0,46,-4,36,,2,1
45,,-1,,-3,34,-6,40,43,,1
46,,,79,0,38,-23,38,,,1
47,,,79,0,52,2,27,,0,1
48,,,79,,,,,,34,4
49,,0,77,,42,5,37,,,1
50,46,,80,0,46,0,34,34,0,1
51,,,,-1,44,0,38,,0,1
52,,,83,0,46,31,37,36,0,1
53,,1,77,-2,,0,40,,2,
54,,0,79,0,50,-6,28,,2,1
55,,,76,-1,46,0,29,,0,1
56,,,77,,,5,28,28,0,1
57,,0,108,0,44,,62,,2,
58,,0,,-2,,0,36,37,2,1
59,,0,76,-3,,-10,39,40,2,1
60,,5,84,0,52,-5,31,,,1
61,,,79,5,44,0,,,2,1
62,,-1,86,0,42,0,45,,0,1
63,,0,95,0,,13,40,59,,
64,,0,95,0,,15,,,0,1
65,,,,0,50,-14,32,,2,
66,37,,75,,34,10,38,,2,1
67,,,,0,-18,-30,4,103,,
68,49,,87,-7,46,-25,38,,,
69,,0,83,0,46,-14,34,,2,1
70,,0,84,0,-12,,,97,94,5
71,55,0,96,0,,23,41,50,8,4
72,,0,81,-2,42,,39,,0,1
73,,,,0,-40,3,4,,120,5
74,,0,82,1,-10,0,26,,66,4
75,,,92,0,-2,-4,36,,58,4
76,,0,,,46,0,,,,
77,,0,78,0,8,-19,22,,48,
78,,,83,0,34,7,47,50,2,1
79,,0,77,0,2,17,,,,1
80,,,87,-5,52,-10,34,,2,1
81,,-1,,-4,36,-6,,,2,1
82,,-1,82,-4,44,0,38,38,0,1
83,,,95,0,46,-4,47,,2,1
84,,,,5,42,0,37,38,0,
85,,,82,-3,,0,,,0,1
86,,,,0,,19,38,,0,
87,,2,83,-2,54,0,28,,0,1
88,,0,77,0,-14,-4,21,92,70,
89,37,,,-5,,0,41,,,1
90,,3,,,56,0,34,,0,1
91,,,77,0,8,-8,41,,28,1
92,,0,76,-5,,6,39,,8,1
93,,0,77,5,-12,-10,,,50,
94,51,-2,87,0,52,5,36,,0,1
95,,0,82,1,54,-12,,,2,1
96,43,,81,3,42,-4,38,,2,1
97,,,108,0,,-3,52,,2,
98,45,,78,,44,-5,33,34,2,
99,,,77,7,38,0,36,38,2,1
100,48,1,87,0,46,0,39,41,2,1
101,56,0,,0,52,-3,,44,4,
102,37,0,92,0,24,3,,,14,1
103,,,83,0,44,-9,,,2,1
104,,-2,77,3,,-30,28,,2,
105,45,0,,0,,2,38,,0,
106,,,109,-6,,0,61,62,2,1
107,,0,83,0,,5,,,4,1
