,0,1,2,3,4,5,6,7,8,9
0,55,0,92,0,0,26,36,92,56,4
1,37,0,76,0,28,18,40,48,8,1
2,37,0,79,0,34,-26,43,46,2,1
3,85,0,88,-4,6,1,3,83,80,5
4,56,0,81,0,-4,11,25,86,62,4
5,53,8,77,0,28,0,23,48,24,4
6,37,0,101,-7,28,0,64,73,8,1
7,37,0,78,-2,12,0,42,65,24,1
8,45,0,84,0,46,20,38,37,0,1
9,41,0,100,0,38,-8,59,61,2,1
10,41,0,89,1,38,-16,48,50,2,1
11,49,0,79,0,46,-5,30,32,2,1
12,49,3,82,0,50,4,33,33,0,1
13,37,-318,105,-2,36,-4,68,69,0,1
14,44,3,77,0,44,2,33,33,0,1
15,106,2,108,0,70,0,1,38,36,5
16,37,-5,76,0,28,0,40,48,8,1
17,49,0,100,0,50,19,52,51,0,1
18,45,-1,87,-2,44,-4,43,43,0,1
19,37,4,80,0,-2,0,43,83,40,1
20,55,-1,98,0,52,8,42,46,4,4
21,55,3,88,3,54,0,32,33,2,1
22,37,0,74,0,26,-1,38,48,10,1
23,37,0,106,0,36,3,68,69,2,1
24,49,0,107,0,46,-16,58,60,2,1
25,79,5,83,0,-46,0,4,130,126,5
26,59,4,84,0,60,24,25,24,0,1
27,39,5,77,0,38,0,37,38,0,1
28,51,-5,81,0,52,0,30,30,0,1
29,56,0,81,0,56,0,24,24,0,1
30,56,0,79,0,16,3,23,63,40,4
31,37,0,105,0,34,4,68,71,4,1
32,56,0,80,0,56,7,24,23,0,1
33,41,2,76,0,42,11,35,35,0,1
34,41,1,85,0,38,0,44,46,2,1
35,56,-4,97,0,52,-2,41,45,4,4
36,56,-4,88,0,56,0,31,31,0,1
37,47,0,84,4,46,0,38,38,0,1
38,41,1,86,2,42,14,45,45,0,1
39,53,3,81,0,54,0,27,26,0,1
40,47,5,79,0,46,0,32,32,0,1
41,104,7,105,7,70,0,1,35,34,5
42,101,-3,102,-4,72,0,1,29,28,5
43,45,0,86,0,44,-17,41,42,2,1
44,42,4,77,0,42,1,35,35,0,1
45,45,0,79,0,44,-4,34,35,2,1
46,37,0,80,0,36,15,43,44,2,1
47,56,0,96,-1,44,0,40,52,12,4
48,56,0,81,0,-10,-3,25,92,66,4
49,37,0,77,0,336,4910,41,-258,-298,1
50,37,-1,77,-3,34,-6,40,43,2,1
51,41,0,79,0,38,-23,38,41,2,1
52,51,0,79,0,52,2,27,27,0,1
53,55,-1,79,-4,20,-12,24,59,34,4
54,41,0,77,0,42,5,37,36,0,1
55,46,-3,80,0,46,0,34,34,0,1
56,56,0,79,0,-2,-24,24,82,58,4
57,44,0,82,-1,44,0,38,38,0,1
58,37,0,77,-1,36,4,40,41,0,1
59,37,0,75,-1,36,0,38,39,0,1
60,37,1,77,-2,34,0,40,43,2,1
61,46,-4,76,-1,46,0,29,29,0,1
62,49,0,77,5,50,5,28,28,0,1
63,45,0,108,0,44,-3,62,64,2,1
64,42,0,79,-2,42,0,36,37,2,1
65,37,0,78,0,20,-10,41,57,16,1
66,37,0,76,-3,36,-10,39,40,2,1
67,53,5,84,0,52,-5,31,32,2,1
68,38,4,76,0,38,4,38,37,0,1
69,40,0,80,0,38,-2,40,41,2,1
70,47,2,95,3,46,0,48,49,0,1
71,45,0,79,5,44,0,34,35,2,1
72,41,-1,86,0,42,0,45,45,0,1
73,55,0,95,0,36,13,40,59,20,4
74,56,0,95,0,56,15,40,39,0,1
75,37,0,75,0,34,10,38,41,2,1
76,37,0,75,0,28,16,38,46,8,1
77,81,-2,84,0,-18,-30,4,103,98,5
78,43,0,95,-4,42,-4,52,54,2,1
79,41,0,84,2,42,25,43,43,0,1
80,49,0,87,-7,46,-25,38,41,2,1
81,81,0,84,0,-12,29,4,97,94,5
82,55,1,84,0,54,-1,29,30,2,1
83,55,0,96,0,46,23,41,50,8,4
84,42,0,81,-2,42,-4,39,39,0,1
85,79,0,83,0,-40,3,4,125,120,5
86,59,-5,84,0,60,6,25,24,0,1
87,56,-3,87,0,56,0,31,30,0,1
88,55,0,82,1,-10,0,26,92,66,4
89,56,0,92,0,-2,-4,36,95,58,4
90,46,0,80,0,46,0,34,34,0,1
91,56,0,78,0,8,-19,22,70,48,4
92,37,0,83,0,34,7,47,50,2,1
93,37,0,77,0,2,17,40,74,34,1
94,53,-1,87,-5,52,-10,34,35,2,1
95,37,-1,79,-4,36,-6,42,43,2,1
96,44,-1,82,-4,44,0,38,38,0,1
97,48,-3,95,0,46,-4,47,49,2,1
98,42,5,79,5,42,0,37,38,0,1
99,37,0,106,-1,34,0,68,72,4,1
100,37,0,81,5,36,-3,43,44,2,1
101,45,0,83,0,46,19,38,37,0,1
102,55,2,83,-2,54,0,28,29,0,1
103,41,3,78,0,38,-1,37,39,2,1
104,37,0,76,0,38,14,38,37,0,1
105,37,0,77,0,8,-8,41,70,28,1
106,37,0,76,-5,28,6,39,47,8,1
107,37,0,77,5,-12,-10,41,90,50,1
108,50,-4,85,0,50,0,35,36,2,1
109,37,0,93,0,12,7,56,81,24,1
110,56,0,82,1,54,-12,26,28,2,1
111,37,0,81,-1,36,-18,43,44,2,1
112,45,-1,78,-3,44,-5,33,34,2,1
113,41,0,77,7,38,0,36,38,2,1
114,43,0,81,0,44,15,37,37,0,1
115,56,0,96,0,52,-3,40,44,4,4
116,37,0,92,0,24,3,55,69,14,1
117,46,1,83,0,44,-9,37,39,2,1
118,56,0,81,0,-20,-4,25,102,76,4
119,48,-3,109,-6,46,0,61,62,2,1
120,37,0,83,0,34,5,46,49,4,1
121,50,-4,83,0,50,0,33,34,2,1
122,48,1,81,-1,46,0,33,34,2,1
123,50,3,107,0,50,0,57,58,0,1
124,38,0,102,-4,34,0,65,69,4,1
125,37,0,79,0,26,-22,42,53,12,1
126,43,0,84,0,44,13,41,41,0,1
127,45,1,80,0,46,31,35,34,0,1
128,48,0,88,-4,46,0,40,41,2,1
129,105,-1,106,2,70,0,2,36,34,5
130,56,4,96,0,52,10,40,44,4,4
131,79,2,83,0,-42,-19,4,126,122,5
132,46,-3,109,2,46,0,63,63,0,1
133,37,0,78,0,16,-11,42,63,22,1
134,37,0,78,0,12,-10,41,65,24,1
135,56,0,78,5,-22,0,22,101,80,4
136,55,0,83,5,-24,0,27,108,82,4
137,54,2,80,0,54,0,26,26,0,1
138,55,0,77,-2,28,0,21,48,28,4
139,37,0,104,-9,28,0,67,75,8,1
140,55,-1,79,0,16,0,23,63,40,4
141,43,-3,86,0,42,-16,42,44,2,1
142,41,-1,89,0,38,-14,48,50,2,1
143,46,0,107,0,46,4,61,60,0,1
144,53,0,79,0,54,14,26,24,0,1
145,44,0,81,-1,44,5,37,37,0,1
146,80,0,85,6,-40,10,5,126,122,5
147,37,0,76,0,36,4,39,40,2,1
148,55,0,92,0,-4,22,36,97,60,4
149,44,2,75,0,44,11,31,31,0,1
150,43,-5,83,0,42,-9,39,41,2,1
151,41,-1,76,0,38,-24,35,37,2,1
152,45,0,86,0,44,-10,41,42,2,1
153,55,0,77,0,6,-11,22,72,50,4
154,37,-67,106,0,36,31,69,69,0,1
155,56,0,108,0,54,-14,52,53,2,1
156,42,0,86,-3,42,0,44,44,0,1
157,56,0,84,0,54,-19,28,30,2,1
158,38,2,80,0,38,4,42,41,0,1
159,45,0,86,0,44,-3,41,42,2,1
160,44,0,83,-1,44,0,38,39,0,1
161,45,-2,83,0,44,-7,37,39,2,1
162,53,-1,88,0,54,4,35,34,0,1
163,51,0,83,0,52,19,31,31,0,1
164,41,0,81,0,38,-3,41,43,2,1
165,46,0,88,0,46,0,41,41,0,1
166,37,0,81,2,26,0,44,55,10,1
167,83,0,86,0,-4,0,3,92,88,5
168,43,0,87,0,42,-6,44,46,2,1
169,56,4,98,-4,42,0,42,57,14,4
170,46,2,78,0,46,9,32,32,0,1
171,37,0,79,0,26,-4,42,53,12,1
172,55,0,95,-2,50,0,40,46,6,4
173,56,3,89,0,56,0,33,32,0,1
174,37,0,78,0,0,-11,42,78,36,1
175,48,1,87,-6,46,-4,39,41,2,1
176,37,0,90,0,30,9,53,59,6,1
177,51,-3,84,4,52,1,33,32,0,1
178,37,0,78,0,12,11,41,65,24,1
179,45,-1,77,2,44,0,32,33,0,1
180,53,0,81,4,52,-22,28,29,2,1
181,37,2,90,0,28,0,53,62,8,1
182,37,0,77,1,36,0,41,41,0,1
183,70,57,82,0,-42,-4,12,126,114,2
184,61,-2,111,0,60,0,50,52,2,1
185,59,0,86,0,60,21,28,27,0,1
186,49,0,95,3,50,4,46,46,0,1
187,45,2,86,6,44,0,41,42,2,1
188,45,0,79,0,46,6,33,32,0,1
189,55,-3,96,0,54,-3,41,42,2,1
190,49,0,78,0,50,3,29,29,0,1
191,39,3,77,0,38,0,38,38,0,1
192,55,-1,79,-8,20,-13,23,58,34,4
193,41,0,82,-2,38,-3,41,43,2,1
194,45,-3,88,0,44,0,44,44,0,1
195,37,0,83,0,8,24,46,75,30,1
196,43,0,77,0,42,-8,34,36,2,1
197,84,6,89,0,6,-6,5,84,78,5
198,37,0,79,-1,6,-23,43,74,32,1
199,43,0,77,0,42,-19,34,35,2,1
200,56,-1,98,4,50,23,42,49,6,4
201,50,1,78,-2,50,0,28,29,2,1
202,43,0,81,0,42,-10,37,39,2,1
203,37,0,79,0,36,9,42,43,2,1
204,58,-4,91,0,56,0,33,34,0,1
205,45,0,93,2,44,0,49,50,0,1
206,38,3,76,0,38,8,38,37,0,1
207,37,0,79,-3,36,-1,41,43,2,1
208,85,-3,88,0,2,-25,3,86,82,5
209,54,4,77,0,28,0,23,48,26,4
210,43,-5,77,0,44,19,34,33,0,1
211,43,0,77,10,42,-34,34,36,2,1
212,56,2,81,4,-4,0,25,86,62,4
213,55,0,82,0,-32,9,26,115,90,4
214,37,0,103,0,24,16,66,80,14,1
215,50,1,90,3,50,0,39,41,2,1
216,45,0,84,8,44,-8,39,41,2,1
217,48,0,89,4,46,-7,41,42,2,1
218,85,0,88,-3,6,0,3,83,80,5
219,37,-6,78,0,10,0,42,68,26,1
220,37,-38,106,-104,30,-17,69,75,6,3
221,58,0,91,2,56,0,33,34,2,1
222,46,0,78,-7,46,5,32,32,0,1
223,56,0,82,0,56,10,26,25,0,1
224,55,0,92,0,46,-3,37,46,8,4
225,39,-2,86,0,38,0,46,47,0,1
226,51,2,81,-5,50,0,30,32,2,1
227,37,0,75,0,20,11,38,54,16,1
228,53,0,86,0,52,-10,33,34,2,1
229,46,2,88,0,46,3,42,41,0,1
230,37,0,78,0,6,-4,41,73,32,1
231,44,0,79,-2,44,0,35,35,0,1
232,38,-3,76,0,38,0,38,37,0,1
233,52,4,91,0,52,0,38,39,0,1
234,37,0,93,0,16,4,55,77,22,1
235,56,0,77,0,-22,23,21,100,80,4
236,44,4,82,-7,44,1,38,38,0,1
237,37,0,79,-4,24,0,42,55,14,1
238,41,0,79,0,38,0,39,41,2,1
239,56,0,80,0,54,-15,24,26,2,1
240,60,-5,111,0,60,0,50,51,2,1
241,44,1,88,0,44,4,44,44,0,1
242,46,1,87,0,46,7,41,41,0,1
243,52,-3,88,0,52,0,35,36,0,1
244,37,0,78,0,-2,-6,42,81,40,1
245,43,0,78,-7,42,0,35,37,2,1
246,37,0,84,0,18,-25,47,66,18,1
247,43,0,79,3,42,0,37,38,2,1
248,78,-2,82,0,-40,0,4,123,120,5
249,55,0,90,0,54,0,36,36,0,1
250,78,0,82,-2,-40,0,4,123,120,5
251,39,1,77,2,38,0,38,38,0,1
252,43,1,77,0,42,0,34,35,2,1
253,107,-2,108,-2,70,-28,1,38,38,5
254,55,-1,81,-6,54,-8,26,27,0,1
255,41,0,106,0,38,-28,64,67,2,1
256,58,-4,85,0,56,0,28,28,0,1
257,37,0,76,0,34,13,39,42,4,1
258,42,-1,78,0,42,0,36,37,2,1
259,53,0,103,-1,52,-17,50,51,2,1
260,37,4,106,0,18,0,68,88,20,1
261,46,0,77,5,46,0,31,30,0,1
262,56,4,95,0,44,26,40,51,12,4
263,41,1,107,0,38,-7,66,68,2,1
264,56,0,77,0,10,5,22,67,46,4
265,44,-4,77,0,44,4,34,34,0,1
266,56,0,78,0,12,19,22,65,42,4
267,37,0,77,0,2,-11,40,75,34,1
268,55,0,82,0,-24,-16,26,108,82,4
269,37,0,83,0,6,-5,47,78,32,1
270,51,1,81,0,52,12,29,29,0,1
271,37,0,106,0,28,-9,69,78,8,1
272,102,0,103,0,72,24,1,31,30,5
273,62,0,109,0,62,23,48,47,0,1
274,55,0,93,0,50,25,37,44,6,4
275,44,0,82,1,44,1,38,38,0,1
276,45,4,87,-1,44,0,42,43,2,1
277,45,0,81,0,44,-3,36,37,2,1
278,56,0,77,0,20,-28,22,57,36,4
279,45,0,88,2,44,0,44,44,0,1
280,44,0,87,-5,44,0,43,43,0,1
281,37,-3,77,0,38,8,39,38,0,1
282,37,-15,78,0,10,0,42,68,26,1
283,41,1,108,0,42,10,66,66,0,1
284,37,0,79,0,10,13,42,68,26,1
285,43,0,86,0,44,21,43,42,0,1
286,55,0,87,-1,56,18,32,30,0,1
287,47,-1,86,-2,46,0,39,39,0,1
288,57,0,88,-1,56,0,31,31,0,1
289,37,0,76,0,30,-23,40,45,6,1
290,55,0,92,0,30,-7,37,61,24,4
291,107,-2,108,-1,70,-23,1,38,38,5
292,55,0,98,-3,50,18,42,49,6,4
293,56,3,85,0,56,23,29,28,0,1
294,44,2,83,0,44,9,39,39,0,1
295,106,0,107,-5,70,0,1,37,36,5
296,43,0,102,0,44,15,59,58,0,1
297,56,0,92,0,56,0,36,35,0,1
298,42,0,79,6,42,0,36,37,2,1
299,66,0,109,0,68,4,43,42,0,1
300,39,0,79,-1,38,-2,41,41,0,1
301,37,0,79,3,8,0,42,71,30,1
302,84,1,87,0,-4,0,3,92,88,5
303,51,-4,86,0,52,17,35,34,0,1
304,52,-3,84,0,52,0,31,32,0,1
305,49,0,95,0,46,-6,47,49,2,1
306,37,0,95,0,18,22,58,77,20,1
307,44,0,81,2,42,-12,37,39,2,1
308,37,0,76,0,20,-20,40,55,16,1
309,37,0,78,0,2,-24,42,75,34,1
310,43,0,81,-7,42,0,38,40,2,1
311,41,-1,81,0,42,0,39,39,0,1
312,55,0,82,0,-38,-6,26,121,94,4
313,45,0,79,0,46,5,34,33,0,1
314,37,0,79,0,10,224,42,69,26,1
315,76,0,81,8,-40,9,5,122,116,5
316,44,-1,85,0,44,3,41,41,0,1
317,56,-2,97,2,42,-16,41,56,14,4
318,56,2,88,0,54,-5,32,33,2,1
319,48,0,81,-4,46,0,32,34,2,1
320,55,1,77,0,54,0,23,23,0,1
321,37,2,97,0,34,-2,60,64,4,1
322,44,0,86,0,42,-19,42,44,2,1
323,55,-4,96,0,50,0,41,47,6,4
324,37,0,78,0,-2,4,42,81,40,1
325,37,0,95,1,10,0,58,84,26,1
326,37,0,77,0,26,-7,41,52,10,1
327,56,0,86,1,56,0,31,30,0,1
328,56,0,76,0,-12,-19,20,89,68,4
329,42,0,80,-7,42,0,38,39,0,1
330,80,1,84,0,-28,0,4,112,108,5
331,43,0,89,5,42,0,46,48,2,1
332,50,-1,86,0,50,-1,36,37,0,1
333,51,-1,86,0,50,-6,36,37,2,1
334,45,-1,78,-6,46,14,33,32,0,1
335,46,0,86,0,46,4,41,40,0,1
336,37,0,83,0,30,-23,46,52,6,1
337,42,5,84,1,42,0,42,43,0,1
338,56,0,89,0,56,0,33,32,0,1
339,37,0,79,-5,26,0,43,54,10,1
340,37,0,75,0,20,5,38,54,16,1
341,37,0,96,0,18,-29,59,78,18,1
342,85,0,89,0,6,26,4,84,80,5
343,53,0,84,0,54,11,32,30,0,1
344,56,0,79,-1,6,-3,23,74,50,4
345,37,0,81,0,24,-18,44,57,14,1
346,37,0,77,5,26,0,40,51,10,1
347,41,0,76,0,42,25,35,35,0,1
348,45,-4,107,0,44,-19,62,63,2,1
349,49,1,106,0,46,-3,58,60,2,1
350,45,1,86,-3,44,0,40,42,2,1
351,56,0,97,-2,52,1,41,45,4,4
352,56,0,93,2,46,0,37,46,10,4
353,41,0,82,0,38,-21,41,43,2,1
354,55,0,77,1,-18,8,21,95,74,4
355,56,0,97,0,52,21,41,46,4,4
356,50,0,110,1,50,0,60,61,2,1
357,48,-4,79,0,46,0,31,33,2,1
358,37,0,77,0,0,-10,40,77,36,1
359,55,1,81,0,54,0,27,27,0,1
360,46,-2,93,3,46,5,47,46,0,1
361,41,-3,78,0,42,12,37,37,0,1
362,46,5,86,0,46,7,40,39,0,1
363,42,-3,99,0,42,0,57,58,2,1
364,45,-3,85,-1,44,0,41,41,0,1
365,41,0,81,0,42,17,40,39,0,1
366,46,0,88,0,44,-26,42,44,2,1
367,80,-4,84,0,-14,0,4,99,96,5
368,85,0,88,1,-2,0,3,91,88,5
369,37,0,75,0,26,23,38,49,12,1
370,56,-1,96,0,54,3,40,42,2,1
371,55,-1,79,-6,20,-20,24,59,34,4
372,41,2,86,5,42,10,45,45,0,1
373,37,0,77,0,26,-2,41,52,10,1
374,83,0,86,0,-6,-21,3,94,90,5
375,44,-3,86,0,44,0,42,42,0,1
376,44,3,76,0,44,12,32,32,0,1
377,37,0,77,-1,34,2,40,43,4,1
378,37,0,79,0,36,-8,42,43,2,1
379,49,0,95,2,50,1,46,46,0,1
380,37,0,76,0,28,24,39,48,8,1
381,44,1,86,0,44,22,42,42,0,1
382,45,0,77,0,44,-14,32,34,2,1
383,42,-2,85,0,42,0,43,44,0,1
384,37,0,78,-4,28,0,41,50,8,1
385,42,0,78,-3,42,0,37,37,0,1
386,55,0,96,1,42,-5,41,55,14,4
387,56,0,95,0,54,1,39,41,2,1
388,55,0,82,0,-12,-13,26,95,68,4
389,56,5,80,0,-2,4,24,83,58,4
390,105,0,106,-3,72,8,1,34,34,5
391,56,0,82,0,56,27,26,25,0,1
392,45,0,77,0,46,31,31,30,0,1
393,57,0,81,3,56,0,24,24,0,1
394,55,1,96,4,50,0,41,47,6,4
