,0,1,2,3,4,5,6,7,8,9
0,55.0,0.0,92.0,0.0,0.0,26.0,36.0,92.3,56.0,4.0
1,37.0,0.0,76.0,0.5,28.0,-1.46,40.0,48.1,8.0,1.0
2,42.2,0.0,78.7,-0.4,34.0,4.2,38.0,46.0,9.8,1.0
3,84.1,0.0,86.9,-4.0,0.0,5.6,3.0,83.0,82.8,5.0
4,56.0,0.0,77.4,0.0,-4.4,11.0,22.0,86.0,62.0,4.0
5,54.5,8.0,77.0,0.0,24.6,0.0,23.0,48.0,24.0,2.0
6,37.0,0.0,101.0,-7.0,28.0,-3.4,64.0,73.0,8.0,1.0
7,37.0,0.0,79.0,-2.0,12.0,-1.2,42.0,66.0,24.0,1.0
8,45.0,0.0,84.0,0.0,46.0,20.0,37.4,37.9,0.0,1.0
9,39.1,0.0,100.0,0.0,38.0,3.0,59.0,62.3,1.0,1.0
10,47.4,-0.1,100.15,1.2,46.0,0.2,48.0,54.7,0.8,1.0
11,49.0,0.0,79.0,0.1,46.0,-5.0,30.0,32.1,2.0,1.0
12,49.8,-1.4,82.0,0.0,50.0,-0.2,31.7,33.0,0.8,1.0
13,37.0,-318.0,96.1,-2.0,28.0,-4.2,57.6,69.0,8.6,1.0
14,46.0,0.7,80.09,0.1,45.6,6.0,33.0,34.0,0.2,1.0
15,106.0,2.0,108.0,0.7,70.0,0.0,1.0,37.8,36.4,5.0
16,37.4,0.8,76.0,0.0,27.8,5.6,40.0,48.0,8.0,1.0
17,49.0,0.0,100.0,1.6,50.0,19.0,52.0,49.9,0.0,1.0
18,45.0,0.3,87.0,1.8,44.0,2.9,43.0,43.2,0.0,1.0
19,85.7,4.0,89.0,0.0,5.4,0.0,3.0,83.0,78.6,5.0
20,37.0,-1.0,80.4,0.0,34.0,8.0,42.0,46.1,4.0,1.0
21,55.0,0.8,85.6,3.0,54.0,0.8,31.0,32.0,0.6,1.0
22,37.0,0.0,74.0,0.8,26.0,-1.0,38.0,48.0,10.0,1.0
23,37.1,-10.5,106.0,0.0,36.0,3.0,68.7,69.0,1.0,1.0
24,49.0,0.4,105.7,0.7,46.0,-16.0,58.0,60.0,2.0,1.0
