,1,2,3,4,5,6,7,8,9,10,11,12,13,0
0,,,,,127,2.8,3.06,,2.29,5.64,,3.92,,
1,13.2,,2.14,11.2,,,,.26,,,,3.4,,1
2,,1.95,2.5,,113,3.85,3.49,.24,2.18,,,3.45,,1
3,13.24,,2.87,,,2.8,2.69,.39,,4.32,1.04,,735,1
4,14.2,1.76,2.45,15.2,,3.27,,.34,1.97,,,,,1
5,14.39,,2.45,14.6,96,2.5,2.52,.3,1.98,5.25,1.02,3.58,,1
6,,,2.61,,121,2.6,2.51,.31,,,,3.58,1295,
7,14.83,,2.17,14,97,2.8,2.98,.29,,,1.08,2.85,1045,1
8,,,2.27,16,98,2.98,3.15,,1.85,,1.01,3.55,1045,1
9,14.12,1.48,2.32,16.8,95,,2.43,.26,,5,1.17,2.82,1280,1
10,,,2.41,,,2.6,,.29,,5.6,,2.9,,1
11,14.38,1.87,,,102,,3.64,.29,2.96,7.5,1.2,3,1547,
12,,1.81,2.7,17.2,112,2.85,2.91,.3,1.46,7.3,1.28,2.88,,1
13,,,2.72,,,,,.33,1.97,6.2,1.07,,,
14,14.19,1.59,2.48,,,3.3,,,1.86,8.7,,,1680,1
15,13.64,3.1,2.56,15.2,,2.7,,.17,1.66,5.1,,,,1
16,,1.63,2.28,16,,3,3.17,,2.1,5.65,1.09,,,
17,,,,17.8,95,2.48,2.37,.26,,3.93,1.09,,1015,
18,,,2.61,20,96,2.53,,,,,,,845,1
19,,,,25,124,2.63,2.68,,,3.58,1.13,3.2,830,
20,13.39,1.77,2.62,,,,,,,,,3.22,1195,1
21,13.3,1.72,2.14,,94,2.4,,.27,,3.95,1.02,2.77,,1
22,13.87,,2.8,19.4,107,2.95,2.97,,1.76,4.5,,,,
23,,1.5,,,101,3,3.25,.29,,5.7,1.19,2.71,,1
24,13.58,1.66,,19.1,,2.86,,.22,,,1.09,2.88,1515,1
25,,,,,,2.42,2.69,.42,,,1.23,2.87,,
26,,1.53,,19.5,132,2.95,2.74,,1.35,5.4,1.25,3,1235,1
27,13.51,,2.65,,110,2.35,2.53,.29,1.54,4.2,,2.87,1095,
28,13.48,,2.41,20.5,100,2.7,,.26,1.86,,,3.47,920,1
29,13.05,1.65,,18,98,2.45,,.29,,,,2.51,,1
30,14.22,3.99,,13.2,128,3,,.2,2.08,5.1,,,,
31,13.56,1.71,2.31,,117,,3.29,,,6.13,.95,,,1
32,,,2.12,,,,2.68,,1.48,,,,,
33,,,2.59,,,,3.56,.17,1.7,5.43,,3.56,1095,1
34,13.24,3.98,,17.5,,2.64,2.63,.32,1.66,,,,680,
35,14.21,4.04,2.44,18.9,111,,2.65,.3,1.25,5.24,,3.33,1080,
36,,3.59,,16,,3.25,3.17,.27,2.19,4.9,1.04,3.44,,1
37,,1.68,,,101,3.1,,,2.14,6.1,.91,3.33,,1
38,14.1,,,18.8,,,,.32,,6.2,1.07,2.75,,
39,13.94,1.73,2.27,,108,2.88,3.54,,2.08,,,,1260,1
40,13.83,,2.6,17.2,94,,2.99,.22,,,1.24,3.37,,
41,13.82,,,,111,3.88,,.32,1.87,7.05,1.01,3.26,1190,1
42,14.22,,2.3,,,3.2,3,.26,2.03,,.94,3.31,970,
43,,,2.68,,,3,3.23,.31,1.66,6,1.07,,1270,
44,12.37,.94,,10.6,88,,.57,.28,.42,,1.05,,520,
45,,,,16.8,100,2.02,1.41,.53,.62,,,1.59,450,2
46,,1.25,1.92,,,,,.32,,3.8,,,,2
47,,1.45,2.53,,104,1.89,,,1.03,2.95,,2.23,,
