,1,2,3,4,5,6,7,8,9,10,11,12,13,0
0,13.95,1.97,2.45,17.16,127.0,2.8,3.06,0.21,2.29,5.64,0.96,3.92,728.9,1.0
1,13.2,2.16,2.14,11.2,106.4,3.05,3.12,0.26,2.03,5.65,0.92,3.4,721.9,1.0
2,13.98,1.95,2.5,15.37,113.0,3.85,3.49,0.24,2.18,5.65,0.92,3.45,721.9,1.0
3,13.24,2.04,2.87,23.28,111.3,2.8,2.69,0.39,1.65,4.32,1.04,2.78,735.0,1.0
4,14.2,1.76,2.45,15.2,104.3,3.27,3.22,0.34,1.97,5.65,0.95,2.74,709.9,1.0
5,14.39,2.82,2.45,14.6,96.0,2.5,2.52,0.3,1.98,5.25,1.02,3.58,721.3,1.0
6,13.52,2.61,2.61,18.13,121.0,2.6,2.51,0.31,1.67,5.45,0.96,3.58,1295.0,1.0
7,14.83,1.99,2.17,14.0,97.0,2.8,2.98,0.29,2.08,5.66,1.08,2.85,1045.0,1.0
8,14.17,2.25,2.27,16.0,98.0,2.98,3.15,0.26,1.85,5.65,1.01,3.55,1045.0,1.0
9,14.12,1.48,2.32,16.8,95.0,2.52,2.43,0.26,2.06,5.0,1.17,2.82,1280.0,1.0
10,13.78,1.64,2.41,17.82,100.0,2.6,2.37,0.29,1.84,5.6,0.95,2.9,723.4,1.0
11,14.38,1.87,2.54,15.98,102.0,3.64,3.64,0.29,2.96,7.5,1.2,3.0,1547.0,1.0
12,13.54,1.81,2.7,17.2,112.0,2.85,2.91,0.3,1.46,7.3,1.28,2.88,723.4,1.0
13,13.71,1.64,2.72,21.05,100.8,2.6,2.29,0.33,1.97,6.2,1.07,2.74,712.0,1.0
14,14.19,1.59,2.48,16.09,108.5,3.3,3.22,0.31,1.86,8.7,0.95,2.82,1680.0,1.0
15,13.64,3.1,2.56,15.2,114.9,2.7,2.57,0.17,1.66,5.1,0.95,2.73,709.9,1.0
16,14.27,1.63,2.28,16.0,96.4,3.0,3.17,0.29,2.1,5.65,1.09,2.74,709.9,1.0
17,13.56,1.57,2.16,17.8,95.0,2.48,2.37,0.26,1.99,3.93,1.09,2.8,1015.0,1.0
18,13.75,1.67,2.61,20.0,96.0,2.53,2.38,0.34,1.76,5.44,0.96,2.78,845.0,1.0
19,13.57,1.79,2.79,25.0,124.0,2.63,2.68,0.27,1.66,3.58,1.13,3.2,830.0,1.0
20,13.39,1.77,2.62,17.32,108.0,3.1,3.11,0.3,1.74,5.45,0.96,3.22,1195.0,1.0
21,13.3,1.72,2.14,17.49,94.0,2.4,2.45,0.27,1.73,3.95,1.02,2.77,710.5,1.0
22,13.87,2.89,2.8,19.4,107.0,2.95,2.97,0.25,1.76,4.5,0.96,2.73,713.4,1.0
23,14.0,1.5,2.37,15.12,101.0,3.0,3.25,0.29,2.04,5.7,1.19,2.71,709.9,1.0
24,13.58,1.66,2.5,19.1,111.9,2.86,3.07,0.22,1.79,5.45,1.09,2.88,1515.0,1.0
25,12.04,1.65,2.25,22.39,93.7,2.42,2.69,0.42,1.73,5.42,1.23,2.87,725.9,2.0
26,13.78,1.53,2.51,19.5,132.0,2.95,2.74,0.21,1.35,5.4,1.25,3.0,1235.0,1.0
27,13.51,2.25,2.65,19.95,110.0,2.35,2.53,0.29,1.54,4.2,0.96,2.87,1095.0,1.0
28,13.48,2.24,2.41,20.5,100.0,2.7,2.39,0.26,1.86,5.46,0.96,3.47,920.0,1.0
29,13.05,1.65,2.39,18.0,98.0,2.45,2.38,0.29,1.69,5.43,0.9,2.51,710.5,1.0
30,14.22,3.99,2.32,13.2,128.0,3.0,3.16,0.2,2.08,5.1,0.96,2.73,709.9,1.0
31,13.56,1.71,2.31,16.65,117.0,3.05,3.29,0.27,2.0,6.13,0.95,2.81,723.4,1.0
32,12.4,1.57,2.12,18.33,91.5,2.48,2.68,0.31,1.48,5.43,0.91,2.53,694.3,2.0
33,13.82,2.12,2.59,17.54,119.2,3.7,3.56,0.17,1.7,5.43,0.97,3.56,1095.0,1.0
34,13.24,3.98,2.36,17.5,92.1,2.64,2.63,0.32,1.66,5.42,0.91,2.53,680.0,2.0
35,14.21,4.04,2.44,18.9,111.0,2.53,2.65,0.3,1.25,5.24,0.96,3.33,1080.0,1.0
36,14.26,3.59,2.35,16.0,103.1,3.25,3.17,0.27,2.19,4.9,1.04,3.44,721.3,1.0
37,14.13,1.68,2.35,15.96,101.0,3.1,3.24,0.3,2.14,6.1,0.91,3.33,721.9,1.0
38,14.1,1.67,2.66,18.8,100.2,2.96,3.04,0.32,1.89,6.2,1.07,2.75,709.9,1.0
39,13.94,1.73,2.27,15.74,108.0,2.88,3.54,0.3,2.08,5.65,0.95,2.81,1260.0,1.0
40,13.83,2.24,2.6,17.2,94.0,3.1,2.99,0.22,1.8,5.45,1.24,3.37,721.3,1.0
41,13.82,1.85,2.54,16.12,111.0,3.88,3.5,0.32,1.87,7.05,1.01,3.26,1190.0,1.0
42,14.22,2.43,2.3,15.73,104.1,3.2,3.0,0.26,2.03,5.65,0.94,3.31,970.0,1.0
43,13.66,1.78,2.68,16.5,108.4,3.0,3.23,0.31,1.66,6.0,1.07,2.82,1270.0,1.0
44,12.37,0.94,1.93,10.6,88.0,1.87,0.57,0.28,0.42,5.46,1.05,2.67,520.0,2.0
45,12.58,3.54,2.39,16.8,100.0,2.02,1.41,0.53,0.62,5.44,0.89,1.59,450.0,2.0
46,12.28,1.25,1.92,17.76,90.7,2.49,2.58,0.32,1.97,3.8,0.91,2.51,694.9,2.0
47,12.38,1.45,2.53,20.52,104.0,1.89,1.21,0.52,1.03,2.95,0.9,2.23,728.5,2.0
48,12.37,1.21,2.06,19.35,98.0,2.42,2.65,0.37,2.08,4.6,1.19,2.3,713.4,2.0
49,12.37,1.17,1.85,19.6,87.4,1.9,0.77,0.54,1.04,5.41,0.9,2.49,510.0,2.0
50,13.34,0.94,2.36,21.05,89.5,2.53,1.3,0.43,0.42,3.17,1.02,2.69,717.6,2.0
51,12.29,3.19,2.32,20.52,103.0,1.1,1.27,0.5,1.03,3.05,0.9059999999999999,1.82,870.0,2.0
52,13.86,1.51,2.67,25.0,112.2,2.95,2.86,0.38,1.87,5.66,0.96,3.16,723.8,2.0
53,13.74,2.35,2.95,30.0,139.0,3.3,2.89,0.21,1.72,3.35,0.97,3.5,735.5,1.0
54,13.75,2.24,2.3,21.0,123.7,2.92,2.85,0.13,1.66,3.21,0.99,3.13,886.0,1.0
55,12.28,1.88,1.92,21.86,97.0,1.61,1.57,0.46,1.15,5.43,1.23,2.67,428.0,2.0
56,12.45,0.9,1.71,20.37,86.0,1.95,0.98,0.49,1.23,4.6,0.91,2.48,697.6,2.0
57,11.84,2.13,2.23,21.38,89.8,1.72,1.58,0.43,1.42,5.43,0.96,2.7,500.0,2.0
58,12.33,1.91,2.15,14.8,136.0,1.9,1.85,0.34,1.92,3.4,0.91,2.31,711.4,2.0
59,12.7,3.87,2.4,18.9,101.0,2.83,2.97,0.25,1.76,5.23,0.96,2.73,463.0,2.0
60,12.39,0.92,2.0,19.0,86.0,2.42,2.26,0.3,1.43,5.41,1.38,2.68,278.0,2.0
61,12.13,1.81,2.2,18.8,86.0,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714.0,2.0
62,12.08,1.68,2.72,24.0,98.1,2.0,1.58,0.4,1.52,5.48,1.31,2.72,715.3,2.0
63,13.05,3.86,2.27,20.66,85.0,1.79,1.59,0.61,1.62,4.8,0.84,2.01,723.3,2.0
64,12.35,0.89,1.86,18.0,89.8,2.2,2.02,0.36,2.35,3.05,0.94,3.08,726.4,2.0
65,12.16,2.01,2.31,22.8,90.0,1.83,1.69,0.43,1.6,2.45,1.33,2.69,715.1,2.0
66,12.27,2.06,2.46,21.28,84.0,1.95,1.69,0.42,1.35,2.8,0.96,2.75,680.0,2.0
67,12.08,1.33,2.3,23.6,103.7,1.94,1.59,0.44,1.38,5.43,1.07,3.21,726.9,2.0
68,12.27,1.83,2.32,21.89,81.0,1.6,1.5,0.52,1.64,2.4,1.08,2.27,721.9,2.0
69,12.0,1.51,2.42,21.72,94.0,1.45,1.25,0.5,0.95,5.42,1.05,2.65,719.0,2.0
70,12.09,2.34,2.29,20.7,80.0,1.93,1.55,0.58,1.62,3.05,0.96,2.67,685.2,2.0
71,12.29,2.83,2.2,18.0,88.0,2.45,2.24,0.25,1.99,5.45,1.15,3.3,720.9,2.0
72,11.62,1.99,2.34,18.0,98.0,3.02,2.26,0.17,2.0,5.44,1.16,2.96,721.3,2.0
73,12.47,1.52,2.11,19.0,102.9,2.5,2.41,0.32,3.28,2.6,1.16,2.79,937.0,2.0
74,12.29,1.41,1.98,19.16,85.0,2.55,2.5,0.33,1.77,2.9,1.23,2.71,428.0,2.0
75,12.44,3.17,2.21,18.0,92.8,2.85,2.99,0.45,2.81,2.3,0.92,2.52,406.0,2.0
76,12.08,2.08,2.19,17.5,97.0,2.23,2.17,0.26,1.4,5.43,0.95,2.73,710.0,2.0
77,12.6,1.34,1.9,18.5,88.0,1.82,1.35,0.29,1.35,5.43,1.04,2.77,562.0,2.0
78,12.16,1.73,1.98,20.5,85.0,2.2,1.99,0.46,1.48,2.94,0.96,2.67,672.0,2.0
79,12.42,2.55,2.27,22.0,90.0,1.79,1.32,0.66,1.42,5.42,0.89,2.54,315.0,2.0
80,12.25,2.17,2.32,21.89,85.6,1.65,2.03,0.41,1.63,3.4,1.0,2.69,510.0,2.0
81,12.72,1.75,2.28,22.5,86.1,1.78,1.19,0.55,1.63,5.42,0.88,2.57,725.9,2.0
82,12.52,1.3,1.94,19.0,92.0,2.36,2.04,0.39,2.08,5.45,0.96,2.7,312.0,2.0
83,11.61,1.35,2.7,20.0,94.0,2.61,2.38,0.29,2.37,2.65,0.96,3.26,680.0,2.0
84,12.43,2.43,2.17,21.0,88.0,2.55,2.26,0.26,1.22,2.0,0.9,2.51,325.0,2.0
85,11.76,2.68,2.26,20.0,103.0,1.99,1.03,0.6,1.05,3.8,0.91,2.5,728.0,2.0
86,12.53,0.74,2.5,21.0,98.9,2.48,2.01,0.42,1.85,5.43,0.9,2.31,434.0,2.0
87,11.82,1.47,2.13,18.29,86.0,1.98,1.61,0.3,1.53,5.44,0.95,3.33,495.0,2.0
88,12.58,1.8,2.19,22.5,108.0,2.0,1.45,0.43,1.61,5.44,1.06,2.96,725.4,2.0
89,12.0,1.77,2.0,20.36,87.0,2.4,2.42,0.37,2.3,1.28,0.93,3.05,728.5,2.0
90,13.5,2.39,2.42,20.0,102.7,2.9,2.79,0.32,1.83,5.44,0.8,2.53,625.0,1.0
91,11.56,2.3,3.23,27.1,101.3,3.18,2.59,0.47,1.81,6.0,0.93,2.56,465.0,2.0
92,13.24,4.43,2.73,26.5,102.0,2.09,2.13,0.43,1.69,5.47,0.92,2.56,715.9,2.0
93,12.38,2.26,2.17,21.0,89.1,2.6,2.65,0.37,1.35,2.76,0.86,2.52,378.0,2.0
94,11.79,2.13,2.78,28.5,92.0,1.83,1.39,0.58,1.76,3.0,0.97,2.67,466.0,2.0
95,12.88,3.97,2.44,20.0,104.0,1.3,1.22,0.48,0.83,5.4,0.9,1.42,731.0,3.0
96,12.94,2.31,2.4,18.9,96.3,1.87,1.09,0.27,0.83,5.42,0.66,1.36,560.0,3.0
97,12.7,3.55,2.35,21.5,85.6,1.7,1.2,0.53,1.3,5.0,0.9,2.53,600.0,3.0
98,12.74,1.24,2.03,17.5,85.0,2.0,0.58,0.6,1.25,5.45,0.75,2.5,650.0,3.0
99,12.25,4.72,2.54,21.0,89.0,1.38,0.47,0.53,0.8,3.85,0.9,1.27,720.0,3.0
100,12.83,2.27,2.64,25.0,99.7,1.79,1.24,0.63,1.1,5.5,0.94,2.75,729.4,2.0
101,12.84,2.96,2.61,20.7,98.5,2.32,1.19,0.53,0.81,4.92,0.89,2.54,726.0,2.0
102,12.93,2.81,2.7,21.0,96.0,1.54,0.5,0.54,0.75,5.48,0.77,2.52,600.0,3.0
103,13.26,2.56,2.35,20.0,89.0,1.88,0.5,0.55,0.64,5.6,0.7,2.53,730.4,3.0
104,13.02,3.17,2.51,19.66,97.0,1.55,0.52,0.5,0.55,5.42,0.9,2.06,520.0,3.0
105,12.16,2.27,2.26,20.0,92.0,2.0,0.8,0.58,1.12,4.4,0.91,2.52,727.0,2.0
106,13.71,3.28,2.2,18.5,112.0,1.38,0.78,0.29,1.14,8.21,0.84,2.0,855.0,3.0
107,12.59,2.34,2.15,21.0,105.6,1.95,0.55,0.43,1.3,4.0,0.6,2.49,712.0,2.0
108,12.87,5.04,2.35,20.35,80.0,0.98,0.99,0.4,0.68,5.42,0.89,1.33,415.0,3.0
109,12.87,3.4,2.48,20.1,102.6,1.66,0.65,0.47,0.99,7.65,0.87,1.86,724.5,3.0
110,13.56,3.24,2.4,21.5,92.0,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650.0,3.0
111,13.08,3.9,2.36,21.5,87.3,1.41,1.39,0.44,1.23,5.42,0.9,1.33,550.0,3.0
112,13.5,3.12,2.62,24.0,123.0,1.87,1.57,0.49,1.25,8.6,0.59,2.62,500.0,3.0
113,12.79,2.26,2.48,22.0,112.0,1.48,1.36,0.44,1.03,10.8,0.96,2.71,480.0,2.0
114,13.11,2.65,2.75,25.5,103.3,2.11,1.72,0.26,1.38,7.1,0.95,1.33,425.0,3.0
115,14.02,3.3,2.28,18.5,100.0,1.91,0.81,0.45,1.24,10.52,0.56,2.52,712.5,3.0
116,12.58,2.81,2.1,20.0,103.0,1.86,0.58,0.53,1.4,5.42,0.58,1.55,640.0,3.0
117,12.61,5.19,2.32,19.6,93.0,1.47,0.63,0.61,0.96,5.41,0.9,2.53,729.0,3.0
118,12.84,2.36,2.38,21.54,95.0,1.8,1.41,0.41,1.56,9.01,0.96,2.71,480.0,2.0
119,14.34,2.31,2.7,19.71,98.0,2.22,1.73,0.37,1.7,13.0,0.57,1.96,724.0,2.0
120,13.48,1.67,2.24,22.5,89.0,1.84,1.25,0.49,1.37,11.75,0.57,2.56,620.0,3.0
121,12.83,3.83,2.38,21.0,88.0,2.3,0.92,0.5,0.83,5.42,0.9,1.58,520.0,3.0
122,13.29,3.73,2.58,21.05,106.0,1.56,0.6,0.6,1.19,5.43,0.76,2.11,740.0,3.0
123,12.96,3.73,2.28,18.5,89.1,1.39,0.7,0.51,1.21,5.28,0.9,2.5,675.0,3.0
124,13.78,2.76,2.39,22.0,90.0,1.35,1.05,0.53,1.03,9.58,0.68,2.54,615.0,3.0
125,13.45,3.7,2.6,21.05,106.2,1.83,0.92,0.43,1.46,10.68,0.72,1.56,695.0,3.0
126,12.82,3.37,2.3,19.65,88.0,1.48,0.66,0.49,0.97,10.26,0.72,1.75,685.0,3.0
127,13.58,3.33,2.75,24.5,113.9,1.55,0.84,0.53,1.54,5.49,0.74,2.55,750.0,3.0
128,12.77,3.27,2.28,20.34,86.0,1.74,0.51,0.52,0.64,9.899999000000001,0.57,2.52,470.0,3.0
