,0,1,2,3,4,5,6,7,8,9
0,ADT2_YEAST,0.43,0.67,0.48,0.5009999999999999,0.5,0.0,0.53,0.22,MIT
1,GOG5_YEAST,0.64,0.62,0.4739999999999999,0.15,0.5,0.0,0.529,0.22999999999999998,MIT
2,AAR2_YEAST,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,NUC
3,AATM_YEAST,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,MIT
4,AATC_YEAST,0.37500000000000006,0.4,0.56,0.189,0.5,0.0,0.49,0.22,CYT
5,ABC1_YEAST,0.5,0.533,0.504,0.282,0.5,0.0,0.53,0.25300000000000006,MIT
6,BAF1_YEAST,0.48,0.42700000000000005,0.59,0.2,0.5,0.0,0.58,0.34,NUC
7,ABP1_YEAST,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.31100000000000005,NUC
8,ACE1_YEAST,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,NUC
9,ACE2_YEAST,0.42,0.37,0.5589999999999999,0.2,0.5,0.0,0.52,0.271,NUC
10,PYR1_YEAST,0.6,0.563,0.461,0.14299999999999996,0.5,0.0,0.518,0.22,NUC
11,KI28_YEAST,0.66,0.573,0.538,0.19,0.5,0.0,0.46,0.22,NUC
12,ACT_YEAST,0.46,0.44,0.519,0.11,0.5,0.0,0.5,0.22,CYT
13,ADA2_YEAST,0.61,0.6,0.479,0.157,0.5,0.0,0.5,0.25,NUC
14,C1TC_YEAST,0.46299999999999997,0.4,0.5,0.16900000000000004,0.5,0.0,0.5,0.22,CYT
15,PUR4_YEAST,0.48900000000000005,0.44,0.55,0.22,0.5,0.0,0.476,0.22,CYT
16,BAR1_YEAST,0.73,0.63,0.4879999999999999,0.3,0.5,0.0,0.49,0.22,EXC
17,ADH1_YEAST,0.5429999999999999,0.53,0.52,0.13,0.5,0.0,0.528,0.22,CYT
18,ADH2_YEAST,0.576,0.53,0.5169999999999999,0.15,0.5,0.0,0.58,0.22,CYT
19,ADH4_YEAST,0.4789999999999999,0.45,0.53,0.19,0.5,0.0,0.59,0.27,NUC
20,KAD2_YEAST,0.63,0.67,0.57,0.24,0.5,0.0,0.49,0.23700000000000002,MIT
21,AFG3_YEAST,0.5330000000000001,0.573,0.43,0.87,0.5,0.0,0.48600000000000004,0.22,MIT
22,AFR1_YEAST,0.38,0.38,0.61,0.17099999999999999,0.5,0.0,0.53,0.47,CYT
23,AGA1_YEAST,0.78,0.74,0.392,0.26,0.5,0.0,0.43,0.22,ME1
24,AGA2_YEAST,0.74,0.67,0.47,0.34,0.5,0.0,0.42,0.22,EXC
25,YMX1_YEAST,0.72,0.61,0.45,0.41800000000000004,0.5,0.0,0.54,0.27999999999999997,MIT
26,CAL1_YEAST,0.4,0.45,0.5330000000000001,0.16099999999999998,0.5,0.0,0.56,0.26,CYT
27,YHN8_YEAST,0.86,0.6409999999999999,0.39,0.24,0.5,0.0,0.54,0.22,ME2
