,0,1,2,3,4,5,6,7,8,9
0,ADT3_YEAST,0.64,,0.49,,,0.00,,0.22,
1,AAR2_YEAST,0.58,,,,0.50,0.00,,,NUC
2,,0.42,,0.48,,0.50,0.00,,,MIT
3,AATC_YEAST,0.51,0.40,0.56,,0.50,,0.49,,
4,,,0.54,,,0.50,0.00,,0.22,MIT
5,,0.48,,,0.20,,0.00,,0.34,
6,ABF2_YEAST,,,,,0.50,0.00,0.49,0.22,
7,ABP1_YEAST,,0.39,,0.15,0.50,,0.58,0.30,CYT
8,ACE1_YEAST,,,0.54,0.21,,0.00,,,NUC
9,ACE2_YEAST,,,0.59,,0.50,0.00,,0.29,NUC
10,,,,0.52,0.46,0.50,0.00,,0.22,MIT
11,,0.66,0.55,,,0.50,,0.46,,MIT
12,ACT_YEAST,0.46,0.44,0.52,0.11,,,0.50,,
13,,,,0.54,,,,0.51,,
14,,0.50,,0.55,,0.50,0.00,,,
15,,,,,,,,,0.25,NUC
16,C1TC_YEAST,0.45,0.40,,0.16,0.50,0.00,0.50,0.22,
17,PUR4_YEAST,0.43,,,0.22,,0.00,0.51,,CYT
18,,0.73,0.63,,,0.50,,0.49,,
19,,0.43,,,,,,,,CYT
20,,0.46,,0.52,0.15,,,,,CYT
21,ADH3_YEAST,0.51,,0.52,,,,0.54,0.22,MIT
22,ADH4_YEAST,0.59,0.45,0.53,0.19,0.50,,,,CYT
23,,0.63,,0.57,0.24,0.50,,,,
24,ADP1_YEAST,0.80,,,0.39,0.50,,0.56,,
25,ADR1_YEAST,0.53,0.54,,,,0.00,0.57,,NUC
26,,,0.51,,,,,0.52,0.22,
27,AFR1_YEAST,0.38,,0.61,0.12,,,,0.47,CYT
28,RCS1_YEAST,0.33,0.55,0.51,0.43,,,,,
29,,,,,0.26,,,,,
30,AGA2_YEAST,,0.67,0.47,0.34,,,,,
31,YMX1_YEAST,0.72,0.61,0.45,0.30,0.50,,,,MIT
32,SYAC_YEAST,,,0.57,0.18,,0.00,0.56,,CYT
33,,0.59,0.53,,0.44,,0.00,,,MIT
34,,,,0.53,0.34,,0.00,0.53,,MIT
35,,0.86,,0.39,0.24,0.50,0.00,,,ME2
36,,0.86,0.74,,0.40,0.50,,0.55,,
37,,0.53,,0.58,,0.50,,,0.37,NUC
38,,0.74,,0.58,,,,,0.35,ME2
39,APE2_YEAST,,0.39,,0.29,0.50,,0.48,,EXC
40,,,,0.51,0.28,,0.00,,,
41,,0.42,0.24,,,0.50,0.00,0.50,0.22,ME3
42,ADB2_YEAST,,,,0.21,0.50,,0.52,0.28,CYT
43,,0.45,,,,0.50,0.00,,,
44,,0.56,0.48,,0.27,,,0.51,,CYT
45,,,,,,,0.00,,0.22,CYT
46,,0.64,0.56,,0.22,,0.00,,0.22,
47,,0.53,0.44,,,0.50,,0.55,,CYT
48,,0.38,,,,,,0.50,0.22,CYT
49,,,,,,0.50,0.00,,0.22,
50,ARGD_YEAST,0.43,0.35,,,0.50,,0.54,,
51,ARG2_YEAST,0.48,0.43,0.51,,,0.00,0.52,,NUC
52,AROC_YEAST,,,,0.22,0.50,,0.51,,CYT
53,,0.34,0.46,0.57,,0.50,,,,
54,CHMU_YEAST,0.47,0.39,0.59,0.15,0.50,,,,
55,ASG2_YEAST,0.81,0.85,,,,0.00,,0.22,EXC
56,AST1_YEAST,0.48,,,0.24,0.50,0.00,0.56,,CYT
57,ATE1_YEAST,0.58,0.51,,0.27,,,,,CYT
58,,0.60,,,0.61,0.50,,0.47,0.22,
59,,,0.55,,0.66,,,,0.22,
60,ATPY_YEAST,0.46,0.49,,,,,,,MIT
61,,,0.42,0.56,0.55,0.50,0.00,0.42,0.25,MIT
62,ATPT_YEAST,,0.53,,0.40,0.50,0.00,0.50,,MIT
63,,0.50,0.54,0.53,,0.50,,0.51,0.27,
64,ATPB_YEAST,0.43,,0.51,,0.50,,,0.22,
65,,,0.45,,,,,,0.22,MIT
66,,0.51,0.54,,,0.50,0.00,0.58,,MIT
67,ATP7_YEAST,,0.52,,0.37,,,,0.22,
68,,0.67,0.62,,0.43,,0.83,,,
69,YBR8_YEAST,,,,,0.50,0.00,0.55,,ME3
70,,0.46,,0.47,,,0.00,0.52,0.27,MIT
71,KAPR_YEAST,0.40,0.45,0.56,,0.50,0.00,,,CYT
72,,0.33,0.43,,,,,0.52,,NUC
73,,0.61,0.72,,,0.50,,0.58,,MIT
74,,,0.75,,0.28,0.50,0.00,,0.22,MIT
75,,0.64,0.57,,,,0.00,0.37,,
76,,0.36,,,0.24,0.50,,0.44,0.22,
77,BUD5_YEAST,0.47,,0.50,0.40,,0.00,,0.22,
78,,0.47,0.39,,,,,0.47,0.22,
79,CAN1_YEAST,0.44,0.59,0.36,0.16,0.50,,,,
80,CAPA_YEAST,0.42,,0.54,0.18,0.50,,,,
81,,,0.56,,,0.50,,0.50,,
82,ARGI_YEAST,0.65,,,0.16,,0.00,0.60,0.22,
83,,,0.60,,,0.50,,,,CYT
84,CACP_YEAST,0.45,,,,,0.50,,0.27,
85,,0.44,,,,0.50,0.00,0.51,,
86,,,0.32,0.57,0.19,,0.00,0.48,,
87,,0.40,,0.49,0.47,0.50,0.00,,,NUC
88,CBF5_YEAST,,0.51,,0.16,0.50,0.00,,1.00,NUC
89,,,0.45,,0.60,,,0.49,,MIT
90,,,0.67,,,,0.00,,0.22,
91,CBP4_YEAST,,,0.48,,0.50,0.00,0.26,,MIT
92,,,0.41,,,0.50,0.00,0.53,0.22,MIT
93,,,,,0.28,0.50,0.00,,,MIT
94,CBS1_YEAST,0.55,,,0.46,,0.00,,,
95,CBS2_YEAST,,0.62,0.54,0.43,,,,0.22,
96,ATU1_YEAST,0.54,,,,0.50,,,0.22,ME3
97,,0.40,,0.53,0.16,0.50,,0.52,,
98,,,,0.57,,,,0.47,,
99,CC11_YEAST,,0.62,0.52,,,0.00,0.49,,CYT
100,,,,0.57,,0.50,,,,CYT
101,,0.62,,0.52,0.42,,,0.54,,NUC
102,,,0.58,0.54,0.16,0.50,0.00,,,NUC
103,CC25_YEAST,0.39,,,0.26,,0.00,,0.59,ME3
104,,,0.54,,,0.50,,,0.22,
105,IF4E_YEAST,0.39,,,,,,,,CYT
106,,0.58,0.48,,0.47,,0.00,0.55,0.22,NUC
107,,,,,,,,0.43,,
108,CC4_YEAST,0.43,0.57,0.53,,,0.00,0.54,,CYT
109,CC40_YEAST,0.28,,,,0.50,,0.52,,NUC
110,CC42_YEAST,,0.48,,0.14,,,0.45,,
111,CAL1_YEAST,,,,,0.50,0.00,,0.29,CYT
112,,0.26,,0.47,,0.50,0.00,0.53,,NUC
113,,,,,0.19,,,,0.22,NUC
114,YB52_YEAST,,0.50,,,,,0.48,,
115,CC48_YEAST,0.44,0.39,0.53,,0.50,,0.54,0.44,CYT
116,,,0.39,,,0.50,,,0.40,
117,SYLC_YEAST,0.45,0.43,,,0.50,0.00,,0.33,
118,,0.42,,,,0.50,,0.53,0.22,
119,,0.42,,0.56,,,,0.49,0.22,
120,DNLI_YEAST,0.67,,,0.65,,0.00,0.53,,NUC
121,MCE1_YEAST,0.49,0.47,,0.16,0.50,0.00,,0.27,
122,,0.71,0.59,,,,,,,MIT
123,,0.54,0.49,,0.20,,0.00,0.52,,CYT
124,CHL1_YEAST,0.42,0.51,,0.12,0.50,0.00,,0.46,NUC
125,,,,,,,0.00,,0.25,
126,,,,0.43,,,0.00,,0.22,
127,PEM1_YEAST,,,,,,,,0.22,ME3
128,CHS1_YEAST,0.26,,0.33,,0.50,,,0.22,ME3
129,CHS2_YEAST,0.39,,,0.40,,,,0.47,
130,,0.26,,,0.11,,,,0.47,
131,,0.31,,,0.23,0.50,,0.51,0.32,
132,CIN8_YEAST,0.21,,0.55,,0.50,0.00,0.50,0.27,CYT
133,CISY_YEAST,0.38,0.68,,0.45,,,0.53,,
134,,,0.37,,,,0.00,0.49,0.22,
135,KICH_YEAST,,0.40,0.53,0.67,0.50,0.00,0.47,,CYT
136,CLC1_YEAST,,,0.69,,0.50,,,,
137,CG12_YEAST,0.54,,0.52,,0.50,,0.48,0.22,
138,,,0.55,0.52,,0.50,0.00,,0.22,
139,,0.32,0.57,,0.15,,,0.53,,
140,,,,,,,,,0.25,CYT
141,CALB_YEAST,0.37,,,,0.50,,0.57,0.22,CYT
142,,,,,0.33,,,,0.22,
143,,,0.42,0.60,0.21,,,0.57,,CYT
144,COQ1_YEAST,0.52,,0.51,0.54,,0.00,0.55,,
145,,0.63,0.56,0.45,0.58,0.50,,,0.22,
146,COT1_YEAST,0.72,0.62,0.34,0.29,0.50,,0.56,,
147,,,0.61,,,0.50,0.00,0.57,,
148,,,,0.44,0.37,0.50,,0.52,,MIT
149,,,,0.62,0.12,,0.00,0.40,0.22,MIT
150,YEX1_YEAST,0.42,0.58,0.41,0.65,0.50,0.00,0.46,0.26,MIT
151,COX2_YEAST,0.59,0.61,0.34,0.22,,,,0.22,MIT
