,0,1,2,3,4,5,6,7,8,9
0,ADT2_YEAST,0.43,,,0.27,0.50,0.00,,,MIT
1,ADT3_YEAST,0.64,,0.49,0.15,0.50,,0.53,0.22,MIT
2,,0.58,,,0.13,0.50,,0.54,,NUC
3,AATM_YEAST,0.42,,0.48,0.54,0.50,0.00,0.48,,MIT
4,AATC_YEAST,0.51,,0.56,0.17,0.50,0.50,,,CYT
5,,,,0.48,0.65,0.50,0.00,0.53,,MIT
6,BAF1_YEAST,0.48,0.45,0.59,0.20,0.50,0.00,0.58,0.34,
7,,0.55,,0.66,0.36,0.50,,0.49,0.22,MIT
8,,0.40,0.39,0.60,0.15,0.50,,0.58,0.30,CYT
9,ACH1_YEAST,,0.42,0.57,0.35,0.50,0.00,,,CYT
10,ACON_YEAST,0.60,0.40,0.52,0.46,0.50,0.00,,,MIT
11,,0.66,,,0.19,0.50,0.00,0.46,,MIT
12,,,0.34,0.55,0.21,0.50,0.00,,0.22,NUC
13,ADA2_YEAST,,0.60,0.55,0.21,0.50,0.00,0.50,0.25,
14,C1TC_YEAST,0.45,0.40,0.50,0.16,0.50,0.00,0.50,,CYT
15,,0.73,0.63,0.42,0.30,0.50,0.00,0.49,,CYT
16,,,,0.52,0.13,0.50,0.00,0.55,0.22,CYT
17,,0.46,,0.52,0.15,0.50,0.00,,,CYT
18,ADH3_YEAST,,0.51,0.52,0.51,0.50,0.00,0.54,,
19,ADH4_YEAST,0.59,,0.53,0.19,,0.00,0.59,,
20,,0.57,,0.60,0.18,0.50,0.00,0.51,0.22,CYT
21,KAD2_YEAST,0.63,0.67,0.57,0.24,0.50,0.00,0.49,0.22,MIT
22,ADR1_YEAST,0.53,,0.43,0.10,0.50,0.00,0.57,,NUC
23,,0.38,,0.61,0.12,0.50,0.00,0.53,,CYT
24,,,,,0.43,0.50,0.00,0.51,0.22,NUC
25,AGA2_YEAST,0.74,0.67,0.47,0.34,0.50,0.00,0.42,,EXC
26,YMX1_YEAST,0.72,,0.45,0.30,0.50,,0.54,0.25,MIT
27,SYAC_YEAST,0.40,0.45,0.57,0.18,0.50,0.00,,,CYT
28,ALG1_YEAST,0.86,0.68,0.39,0.24,0.50,0.00,0.54,,ME2
29,,0.79,0.57,,0.28,0.50,0.00,,0.22,ME2
30,,,,,0.18,0.50,,0.48,,VAC
31,,,,0.58,0.39,0.50,0.00,0.47,0.37,
32,ANP1_YEAST,0.74,,,0.47,0.50,0.00,0.40,,
33,,,,0.51,0.28,0.50,0.00,0.58,0.22,VAC
34,ADB2_YEAST,0.48,0.39,0.51,0.21,0.50,0.00,0.52,0.28,CYT
35,,0.45,0.46,0.55,0.43,0.50,0.00,0.55,0.38,NUC
36,ARD1_YEAST,0.56,,,0.27,0.50,0.00,0.51,,
37,ARF2_YEAST,0.64,0.56,0.56,0.22,0.50,0.00,,,CYT
38,,,0.62,0.49,0.10,0.50,,0.49,,
39,,0.53,0.44,,0.33,0.50,0.00,,,
40,,0.38,,0.53,0.19,0.50,0.00,0.50,,CYT
41,,0.45,0.58,0.48,0.67,,0.00,0.52,,MIT
42,,0.54,0.48,0.44,0.08,0.50,,0.52,0.27,
43,AROC_YEAST,,,0.45,0.22,0.50,0.00,0.51,,CYT
44,AROG_YEAST,0.48,0.54,,0.12,0.50,,0.51,,CYT
45,CHMU_YEAST,0.47,0.39,,0.15,0.50,0.00,0.57,0.22,CYT
46,AST1_YEAST,0.48,0.42,0.52,0.24,0.50,0.00,,,CYT
47,,0.60,,0.44,0.61,0.50,0.00,,,MIT
48,ATPA_YEAST,0.45,0.55,0.54,0.66,0.50,0.00,0.47,0.22,MIT
49,,0.46,,0.58,0.23,0.50,,0.44,,MIT
50,,,0.54,0.53,0.54,0.50,0.00,0.51,,MIT
51,ATPE_YEAST,0.63,0.57,,0.40,,,0.38,,MIT
52,ATPB_YEAST,0.43,0.57,0.51,0.49,0.50,0.00,,,MIT
53,,0.48,,,0.50,0.50,,0.53,,
54,ATPD_YEAST,0.50,0.58,0.46,0.46,0.50,0.00,,0.22,MIT
55,,0.54,,0.63,0.37,0.50,0.00,0.46,0.22,
56,,0.67,0.62,0.40,0.43,,0.83,,,MIT
57,YBR8_YEAST,,0.44,0.35,0.16,0.50,0.00,0.55,0.22,ME3
58,BAS1_YEAST,0.50,0.52,,0.30,0.50,0.00,0.51,,
59,BCK1_YEAST,0.42,0.47,0.52,0.41,0.50,0.00,,,CYT
60,,0.36,,0.62,0.46,,0.00,0.51,,CYT
61,,,,0.56,0.20,0.50,0.00,0.45,,
62,BDF1_YEAST,0.33,,0.64,0.16,0.50,0.00,,,
63,BEM1_YEAST,0.49,,,0.25,0.50,0.00,0.50,,
64,,0.38,0.50,0.37,0.26,0.50,0.00,0.43,,
65,,0.69,,0.52,0.36,0.50,0.00,0.46,0.22,EXC
66,,0.61,,0.39,0.33,0.50,0.00,0.58,,MIT
67,,0.78,0.75,0.40,0.28,,0.00,0.53,0.22,MIT
68,,0.36,0.58,0.35,0.24,0.50,0.00,0.44,,ME3
69,,0.47,,0.50,0.40,0.50,0.00,,0.22,CYT
70,,0.48,,0.57,0.27,0.50,0.00,0.48,,NUC
71,CAP2_YEAST,0.47,,0.55,0.24,0.50,0.00,0.47,,CYT
72,CAN1_YEAST,,,0.36,0.16,0.50,0.00,0.52,,ME3
73,CAPA_YEAST,0.42,0.35,0.54,0.18,0.50,0.00,,,CYT
74,,0.30,,0.55,0.18,0.50,0.00,,0.22,CYT
75,,0.65,0.65,0.52,0.16,,0.00,0.60,0.22,CYT
76,,,,0.48,0.23,0.50,,,0.22,CYT
77,,0.45,0.41,0.50,0.46,0.50,,0.50,,POX
78,CAT8_YEAST,0.44,,0.41,0.23,0.50,,,,NUC
79,CBF1_YEAST,0.30,,0.57,0.19,0.50,0.00,0.48,,NUC
80,CB32_YEAST,0.40,,0.49,0.47,0.50,0.00,0.49,,
81,,,0.51,0.50,0.16,0.50,0.00,0.52,,
82,,0.45,0.45,0.50,0.60,0.50,0.00,0.49,,MIT
83,CBP2_YEAST,0.59,0.67,0.56,0.41,0.50,0.00,,,
84,,0.47,,0.57,0.48,0.50,0.00,0.48,,MIT
85,CBP4_YEAST,0.35,,0.48,0.22,0.50,0.00,,,MIT
86,,0.64,0.62,0.29,0.28,0.50,0.00,0.51,0.22,MIT
87,,0.55,0.53,,0.46,0.50,0.00,0.52,,MIT
88,CBS2_YEAST,0.67,0.62,,0.43,0.50,0.00,0.53,,MIT
89,TNT_YEAST,,0.60,,0.43,0.50,0.00,0.53,,
90,ATU1_YEAST,,0.55,0.34,0.31,0.50,0.00,0.54,0.22,ME3
91,CCE1_YEAST,,,0.54,0.17,0.50,0.00,0.48,,MIT
92,,0.46,,0.48,0.53,0.50,,0.53,,MIT
93,CCR4_YEAST,0.53,0.51,,0.05,0.50,,0.45,,NUC
94,CC12_YEAST,0.60,0.50,0.57,0.25,0.50,0.00,0.41,,CYT
95,CC16_YEAST,0.62,,0.52,0.42,0.50,0.00,0.54,0.27,NUC
96,,0.39,,0.50,0.26,0.50,0.00,0.54,,ME3
97,,0.29,0.32,0.58,0.15,0.50,0.00,0.50,,CYT
98,IF4E_YEAST,,0.47,0.56,0.16,0.50,,,0.22,CYT
99,,0.58,,0.51,0.47,0.50,0.00,,,NUC
100,,0.64,,0.57,0.19,0.50,0.00,0.43,,NUC
101,,0.37,0.46,0.40,0.27,0.50,0.00,0.45,,NUC
102,,0.43,0.57,0.53,0.16,0.50,,0.54,,CYT
103,,,0.37,,0.09,0.50,0.00,0.52,,NUC
104,,0.59,0.48,0.50,0.14,0.50,0.00,,,CYT
105,,,,,0.31,0.50,0.00,0.54,0.29,CYT
106,YB52_YEAST,0.58,,0.50,0.12,,0.00,0.48,,
107,,0.41,,0.44,0.34,0.50,,0.48,0.40,
108,,0.45,,,0.24,0.50,0.00,0.54,0.33,CYT
109,,0.42,,0.50,0.15,0.50,0.00,0.53,,
110,KTHY_YEAST,0.42,,0.56,0.10,,0.00,0.49,,
111,,0.67,,0.52,0.65,0.50,,0.53,0.36,NUC
112,,0.49,0.47,0.53,0.16,0.50,0.00,0.48,,NUC
113,,0.71,0.59,0.48,,0.50,0.00,,0.22,MIT
114,,,0.42,,0.21,0.50,0.00,0.54,,CYT
115,,0.40,0.42,0.71,0.21,0.50,,,0.32,CYT
116,CLH_YEAST,0.54,0.49,0.49,0.20,0.50,0.00,,,CYT
117,,0.42,,0.50,0.12,0.50,0.00,,,NUC
118,PEM1_YEAST,0.42,,,0.20,,0.00,0.49,,
119,CHS1_YEAST,0.26,0.50,,0.28,0.50,0.00,,,
120,CHS2_YEAST,,,0.38,0.40,0.50,0.00,0.49,0.47,ME3
121,CHS3_YEAST,0.26,0.44,0.30,0.11,0.50,0.00,0.51,,ME3
122,CIK1_YEAST,0.31,,0.53,0.23,0.50,0.00,0.51,,NUC
123,,0.48,,,0.20,0.50,0.00,,,
124,,0.66,,0.50,0.23,0.50,0.00,,0.22,CYT
125,CIN8_YEAST,,0.41,0.55,0.11,0.50,0.00,0.50,,CYT
126,CISY_YEAST,,0.68,0.44,0.45,0.50,0.00,0.53,,MIT
127,,,,0.56,0.33,0.50,,0.52,,NUC
128,,,,0.49,0.35,,0.00,,,
129,KICH_YEAST,,,,0.67,0.50,0.00,0.47,0.22,CYT
130,,0.24,,,0.18,0.50,0.00,0.52,0.22,CYT
131,,,,0.51,0.13,0.50,0.00,,0.22,CYT
132,,,0.38,0.52,0.18,0.50,0.00,0.48,,CYT
133,,0.43,0.57,0.53,0.53,0.50,0.00,0.53,,
134,,0.48,,0.61,0.23,0.50,0.00,0.60,0.22,CYT
135,,,0.55,0.52,0.17,0.50,0.00,,0.22,CYT
136,KCC2_YEAST,0.32,0.57,0.50,0.15,0.50,0.00,,,CYT
137,,0.59,0.50,0.52,0.28,0.50,0.00,0.55,0.25,CYT
138,,0.75,0.70,0.38,0.27,0.50,0.00,0.49,,ME1
139,CYB_YEAST,,,0.31,0.33,0.50,0.00,0.56,,MIT
140,,,0.42,0.60,0.21,0.50,0.00,0.57,0.22,CYT
141,,,0.51,0.51,0.54,0.50,0.00,0.55,,MIT
142,COQ2_YEAST,0.63,0.56,0.45,0.58,0.50,0.00,0.51,,MIT
143,,0.52,,0.54,0.53,0.50,0.00,0.45,,MIT
144,COT1_YEAST,0.72,,0.34,0.29,0.50,0.00,0.56,0.28,MIT
145,,0.72,,0.37,0.30,0.50,0.00,0.57,,MIT
146,COXG_YEAST,,,,0.12,0.50,0.00,,0.22,MIT
147,YEX1_YEAST,0.42,,0.41,0.65,0.50,0.00,,0.26,
148,COX3_YEAST,,0.77,0.38,0.34,0.50,0.00,0.51,,MIT
149,,0.50,,,0.51,0.50,0.00,0.48,,
150,,0.50,,0.44,0.50,0.50,0.00,,,
151,,0.50,,0.56,0.70,0.50,0.00,0.50,0.22,MIT
152,,0.37,0.58,0.44,0.51,0.50,0.00,0.44,,MIT
153,,0.55,,0.45,0.54,0.50,0.00,0.50,0.22,MIT
154,,0.53,0.51,0.46,0.28,0.50,0.00,,,CYT
155,,,,,0.21,0.50,0.00,0.54,,CYT
156,,0.52,0.40,0.60,0.12,0.50,0.00,0.55,,CYT
157,CYPB_YEAST,0.77,0.79,,0.23,0.50,0.00,0.48,,
158,,0.47,0.46,0.59,0.49,0.50,0.00,,0.22,MIT
159,,,0.83,0.43,0.30,0.50,0.00,0.55,,
160,CYPD_YEAST,0.78,,,0.25,1.00,0.00,0.53,,
161,,,,0.37,0.14,,0.00,0.50,,ME3
162,,0.57,0.41,0.59,0.24,0.50,0.00,,,
163,,0.58,,0.45,0.12,0.50,0.00,,,
164,,,,0.66,0.25,0.50,0.00,0.43,0.22,NUC
165,YKE9_YEAST,0.34,,0.54,0.11,0.50,0.00,,,NUC
166,CSG2_YEAST,0.69,,0.38,0.27,0.50,0.00,0.52,,ME2
167,,,,0.60,0.19,0.50,0.50,0.42,,POX
168,,,,0.54,0.52,0.50,0.00,0.50,,NUC
169,,0.36,,0.33,0.14,0.50,,0.57,0.31,ME3
170,,0.82,,0.54,0.23,0.50,0.00,0.46,,EXC
171,MTC_YEAST,0.38,,0.75,0.17,0.50,0.00,,,CYT
172,,0.38,,0.75,0.17,0.50,0.00,0.55,0.22,CYT
173,,,0.44,0.51,0.33,0.50,,,0.22,MIT
174,,0.40,0.56,0.48,0.14,0.50,0.00,,,MIT
175,,0.53,,0.60,0.13,0.50,0.00,0.49,,MIT
176,,0.42,,0.72,0.22,0.50,0.00,,,MIT
177,,,,0.52,0.14,0.50,0.00,0.53,,CYT
178,CY1_YEAST,0.44,0.68,0.45,0.51,0.50,0.00,0.52,,MIT
179,CYT2_YEAST,,,0.66,0.11,0.50,0.00,,,MIT
180,,0.44,,0.52,0.23,0.50,0.83,0.51,0.22,POX
181,DA81_YEAST,0.39,,0.46,0.12,0.50,0.00,0.41,,NUC
182,,0.56,,0.54,0.16,0.50,0.00,0.50,,NUC
183,,,,0.38,0.08,0.50,0.00,0.53,0.25,VAC
184,,,,0.60,0.33,0.50,,0.37,,NUC
185,,,,,0.22,0.50,,,0.37,NUC
186,DBP1_YEAST,0.42,,,0.21,0.50,0.00,0.51,0.22,
187,DBR1_YEAST,,,0.56,0.22,,0.00,,,NUC
188,,0.36,0.24,0.49,0.16,0.50,0.00,0.51,,NUC
189,,0.38,,,0.22,0.50,0.00,,,CYT
190,DYR_YEAST,,,0.50,0.15,0.50,0.00,,0.22,CYT
191,DYHC_YEAST,0.60,0.56,0.47,0.20,0.50,,,0.38,NUC
192,,0.41,0.24,,0.26,0.50,0.00,,0.22,NUC
193,,,0.39,0.54,0.14,0.50,0.00,0.47,,NUC
194,DPB3_YEAST,0.53,0.61,0.52,0.21,0.50,0.00,0.55,,
195,DRS1_YEAST,,0.43,0.49,0.79,,0.00,0.49,0.63,NUC
196,,0.51,,,0.16,0.50,0.00,0.51,,ME3
197,DSS4_YEAST,0.56,,,0.19,0.50,0.00,,,CYT
198,,0.61,0.30,0.59,0.12,0.50,0.00,0.49,,NUC
199,,0.83,,0.33,0.04,0.50,0.00,0.53,,ME2
200,EF1B_YEAST,0.39,0.45,0.53,,0.50,0.00,0.54,,CYT
201,EF2_YEAST,0.52,0.54,0.50,0.21,0.50,0.00,,,CYT
202,,0.36,0.49,0.30,0.22,0.50,,0.52,,ME3
203,,,0.70,0.32,0.23,0.50,0.00,0.53,,ME1
