,0,1,2,3,4,5,6,7,8,9
0,ADT3_YEAST,0.64,0.62,0.49,0.15,0.50,0.00,0.53,0.22,MIT
1,AAR2_YEAST,0.58,0.44,0.57,0.13,0.50,0.00,0.54,0.22,NUC
2,AATM_YEAST,0.42,0.44,0.48,0.54,0.50,0.00,0.48,0.22,MIT
3,AATC_YEAST,0.51,0.40,0.56,0.17,0.50,0.50,0.49,0.22,CYT
4,BAF1_YEAST,0.48,0.45,0.59,0.20,0.50,0.00,0.58,0.34,NUC
5,ABF2_YEAST,0.55,0.50,0.66,0.36,0.50,0.00,0.49,0.22,MIT
6,ABP1_YEAST,0.40,0.39,0.60,0.15,0.50,0.00,0.58,0.30,CYT
7,ACE1_YEAST,0.43,0.39,0.54,0.21,0.50,0.00,0.53,0.27,NUC
8,ACH1_YEAST,0.40,0.42,0.57,0.35,0.50,0.00,0.53,0.25,CYT
9,ACON_YEAST,0.60,0.40,0.52,0.46,0.50,0.00,0.53,0.22,MIT
10,ACR1_YEAST,0.66,0.55,0.45,0.19,0.50,0.00,0.46,0.22,MIT
11,ACT2_YEAST,0.47,0.39,0.50,0.11,0.50,0.00,0.49,0.40,CYT
12,C1TC_YEAST,0.45,0.40,0.50,0.16,0.50,0.00,0.50,0.22,CYT
13,PUR4_YEAST,0.43,0.44,0.48,0.22,0.50,0.00,0.51,0.22,CYT
14,PUR3_YEAST,0.73,0.63,0.42,0.30,0.50,0.00,0.49,0.22,CYT
15,ADH1_YEAST,0.43,0.53,0.52,0.13,0.50,0.00,0.55,0.22,CYT
16,ADH2_YEAST,0.46,0.53,0.52,0.15,0.50,0.00,0.58,0.22,CYT
17,ADH3_YEAST,0.51,0.51,0.52,0.51,0.50,0.00,0.54,0.22,MIT
18,ADH4_YEAST,0.59,0.45,0.53,0.19,0.50,0.00,0.59,0.27,CYT
19,KAD2_YEAST,0.63,0.67,0.57,0.24,0.50,0.00,0.49,0.22,MIT
20,ADP1_YEAST,0.80,0.88,0.36,0.39,0.50,0.00,0.56,0.33,ME1
21,ADR1_YEAST,0.53,0.54,0.43,0.10,0.50,0.00,0.57,0.32,NUC
22,AFR1_YEAST,0.38,0.61,0.61,0.12,0.50,0.00,0.53,0.47,CYT
23,AGA2_YEAST,0.74,0.67,0.47,0.34,0.50,0.00,0.42,0.22,EXC
24,YMX1_YEAST,0.72,0.61,0.45,0.30,0.50,0.00,0.54,0.25,MIT
25,DHA1_YEAST,0.59,0.53,0.43,0.44,0.50,0.00,0.50,0.22,MIT
26,DHA2_YEAST,0.57,0.53,0.53,0.34,0.50,0.00,0.53,0.22,MIT
27,ALG1_YEAST,0.86,0.68,0.39,0.24,0.50,0.00,0.54,0.22,ME2
28,ALG5_YEAST,0.86,0.74,0.51,0.40,0.50,0.00,0.55,0.22,ME2
29,GPT_YEAST,0.79,0.57,0.41,0.28,0.50,0.00,0.59,0.22,ME2
30,ALG8_YEAST,0.41,0.54,0.39,0.20,0.50,0.00,0.51,0.22,ME3
31,MAN1_YEAST,0.37,0.36,0.56,0.18,0.50,0.00,0.48,0.26,VAC
32,APE2_YEAST,0.49,0.39,0.52,0.29,0.50,0.00,0.48,0.22,EXC
33,APE3_YEAST,0.74,0.57,0.51,0.28,0.50,0.00,0.58,0.22,VAC
34,ALP1_YEAST,0.42,0.24,0.34,0.16,0.50,0.00,0.50,0.22,ME3
35,APN1_YEAST,0.45,0.46,0.55,0.43,0.50,0.00,0.55,0.38,NUC
36,ARD1_YEAST,0.56,0.48,0.58,0.27,0.50,0.00,0.51,0.22,CYT
37,ARF1_YEAST,0.64,0.59,0.56,0.23,0.50,0.00,0.46,0.22,CYT
38,ARF2_YEAST,0.64,0.56,0.56,0.22,0.50,0.00,0.45,0.22,CYT
39,ASSY_YEAST,0.66,0.62,0.49,0.10,0.50,0.00,0.49,0.22,CYT
40,OTC_YEAST,0.53,0.44,0.51,0.33,0.50,0.00,0.55,0.22,CYT
41,ARLY_YEAST,0.38,0.49,0.53,0.19,0.50,0.00,0.50,0.22,CYT
42,AR56_YEAST,0.45,0.58,0.48,0.67,0.50,0.00,0.52,0.22,MIT
43,ARGD_YEAST,0.43,0.35,0.52,0.52,0.50,0.00,0.54,0.22,MIT
44,ARG2_YEAST,0.48,0.43,0.51,0.32,0.50,0.00,0.52,0.43,NUC
45,ARG3_YEAST,0.41,0.46,0.59,0.19,0.50,0.00,0.58,0.27,NUC
46,ARO1_YEAST,0.54,0.48,0.44,0.08,0.50,0.00,0.52,0.27,CYT
47,AROF_YEAST,0.34,0.46,0.57,0.09,0.50,0.00,0.55,0.22,CYT
48,ASG2_YEAST,0.81,0.85,0.47,0.37,0.50,0.00,0.56,0.22,EXC
49,AST1_YEAST,0.48,0.42,0.52,0.24,0.50,0.00,0.56,0.22,CYT
50,ATE1_YEAST,0.58,0.51,0.49,0.27,0.50,0.00,0.57,0.29,CYT
51,ATM1_YEAST,0.60,0.50,0.44,0.61,0.50,0.00,0.47,0.22,MIT
52,ATPY_YEAST,0.46,0.49,0.58,0.23,0.50,0.00,0.44,0.22,MIT
53,ATPT_YEAST,0.63,0.53,0.54,0.40,0.50,0.00,0.50,0.22,MIT
54,ATPU_YEAST,0.50,0.54,0.53,0.54,0.50,0.00,0.51,0.27,MIT
55,ATPB_YEAST,0.43,0.57,0.51,0.49,0.50,0.00,0.48,0.22,MIT
56,ATPO_YEAST,0.51,0.54,0.60,0.57,0.50,0.00,0.58,0.22,MIT
57,ATP7_YEAST,0.54,0.52,0.63,0.37,0.50,0.00,0.46,0.22,MIT
58,YBR8_YEAST,0.39,0.44,0.35,0.16,0.50,0.00,0.55,0.22,ME3
59,BAR1_YEAST,0.80,0.63,0.45,0.29,0.50,0.00,0.51,0.22,EXC
60,BAS1_YEAST,0.50,0.52,0.59,0.30,0.50,0.00,0.51,0.35,NUC
61,BCK1_YEAST,0.42,0.47,0.52,0.41,0.50,0.00,0.53,0.32,CYT
62,BCK2_YEAST,0.36,0.46,0.62,0.46,0.50,0.00,0.51,0.33,CYT
63,BCS1_YEAST,0.46,0.38,0.47,0.22,0.50,0.00,0.52,0.27,MIT
64,KAPR_YEAST,0.40,0.45,0.56,0.20,0.50,0.00,0.45,0.22,CYT
65,BDF1_YEAST,0.33,0.43,0.64,0.16,0.50,0.00,0.52,0.52,NUC
66,BEM1_YEAST,0.49,0.61,0.49,0.25,0.50,0.00,0.50,0.28,CYT
67,BET1_YEAST,0.38,0.50,0.37,0.26,0.50,0.00,0.43,0.22,ME3
68,BGL2_YEAST,0.69,0.70,0.52,0.36,0.50,0.00,0.46,0.22,EXC
69,CYBM_YEAST,0.61,0.72,0.39,0.33,0.50,0.00,0.58,0.22,MIT
70,YMC4_YEAST,0.78,0.75,0.40,0.28,0.50,0.00,0.53,0.22,MIT
71,BIK1_YEAST,0.64,0.57,0.57,0.27,0.50,0.00,0.37,0.22,CYT
72,BOS1_YEAST,0.36,0.58,0.35,0.24,0.50,0.00,0.44,0.22,ME3
73,BUD5_YEAST,0.47,0.52,0.50,0.40,0.50,0.00,0.41,0.22,CYT
74,CAD1_YEAST,0.48,0.23,0.57,0.27,0.50,0.00,0.48,0.47,NUC
75,CAP2_YEAST,0.47,0.39,0.55,0.24,0.50,0.00,0.47,0.22,CYT
76,CAPA_YEAST,0.42,0.35,0.54,0.18,0.50,0.00,0.56,0.22,CYT
77,CAPB_YEAST,0.30,0.56,0.55,0.18,0.50,0.00,0.50,0.22,CYT
78,ARGI_YEAST,0.65,0.65,0.52,0.16,0.50,0.00,0.60,0.22,CYT
79,OAT_YEAST,0.27,0.60,0.48,0.23,0.50,0.00,0.55,0.22,CYT
80,CACP_YEAST,0.45,0.41,0.50,0.46,0.50,0.50,0.50,0.27,POX
81,CAT8_YEAST,0.44,0.52,0.41,0.23,0.50,0.00,0.51,0.22,NUC
82,CBF1_YEAST,0.30,0.32,0.57,0.19,0.50,0.00,0.48,0.55,NUC
83,CB32_YEAST,0.40,0.44,0.49,0.47,0.50,0.00,0.49,0.27,NUC
84,CBP1_YEAST,0.45,0.45,0.50,0.60,0.50,0.00,0.49,0.22,MIT
85,CBP2_YEAST,0.59,0.67,0.56,0.41,0.50,0.00,0.47,0.22,MIT
86,CBP3_YEAST,0.47,0.47,0.57,0.48,0.50,0.00,0.48,0.22,MIT
87,CBP4_YEAST,0.35,0.52,0.48,0.22,0.50,0.00,0.26,0.22,MIT
88,CBP6_YEAST,0.47,0.41,0.66,0.26,0.50,0.00,0.53,0.22,MIT
89,NC5R_YEAST,0.64,0.62,0.29,0.28,0.50,0.00,0.51,0.22,MIT
90,CBS1_YEAST,0.55,0.53,0.55,0.46,0.50,0.00,0.52,0.22,MIT
91,CBS2_YEAST,0.67,0.62,0.54,0.43,0.50,0.00,0.53,0.22,MIT
92,CCE1_YEAST,0.58,0.62,0.54,0.17,0.50,0.00,0.48,0.22,MIT
93,CCL1_YEAST,0.40,0.38,0.53,0.16,0.50,0.00,0.52,0.27,NUC
94,CCPR_YEAST,0.46,0.71,0.48,0.53,0.50,0.00,0.53,0.22,MIT
95,CCR4_YEAST,0.53,0.51,0.55,0.05,0.50,0.00,0.45,0.25,NUC
96,CTPT_YEAST,0.41,0.40,0.59,0.47,0.50,0.00,0.48,0.43,CYT
97,CC10_YEAST,0.50,0.64,0.57,0.15,0.50,0.00,0.47,0.22,CYT
98,CC11_YEAST,0.40,0.62,0.52,0.31,0.50,0.00,0.49,0.31,CYT
99,CC12_YEAST,0.60,0.50,0.57,0.25,0.50,0.00,0.41,0.26,CYT
100,CC16_YEAST,0.62,0.51,0.52,0.42,0.50,0.00,0.54,0.27,NUC
101,CC23_YEAST,0.35,0.58,0.54,0.16,0.50,0.00,0.51,0.22,NUC
102,CC25_YEAST,0.39,0.58,0.50,0.26,0.50,0.00,0.54,0.59,ME3
103,CDC3_YEAST,0.29,0.32,0.58,0.15,0.50,0.00,0.50,0.30,CYT
104,CC31_YEAST,0.47,0.32,0.64,0.30,0.50,0.00,0.63,0.22,NUC
105,IF4E_YEAST,0.39,0.47,0.56,0.16,0.50,0.00,0.47,0.22,CYT
106,NOT1_YEAST,0.37,0.46,0.40,0.27,0.50,0.00,0.45,0.22,NUC
107,CC40_YEAST,0.28,0.37,0.61,0.09,0.50,0.00,0.52,0.55,NUC
108,CAL1_YEAST,0.39,0.55,0.48,0.31,0.50,0.00,0.54,0.29,CYT
109,RFC1_YEAST,0.26,0.36,0.47,0.34,0.50,0.00,0.53,0.72,NUC
110,CC46_YEAST,0.51,0.34,0.50,0.19,0.50,0.00,0.50,0.22,NUC
111,CC48_YEAST,0.44,0.39,0.53,0.14,0.50,0.00,0.54,0.44,CYT
112,SYLC_YEAST,0.45,0.43,0.51,0.24,0.50,0.00,0.54,0.33,CYT
113,CC68_YEAST,0.36,0.68,0.46,0.16,0.50,0.00,0.53,0.28,NUC
114,CC7_YEAST,0.42,0.31,0.50,0.15,0.50,0.00,0.53,0.22,NUC
115,KTHY_YEAST,0.42,0.43,0.56,0.10,0.50,0.00,0.49,0.22,CYT
116,DNLI_YEAST,0.67,0.71,0.52,0.65,0.50,0.00,0.53,0.36,NUC
117,MCE1_YEAST,0.49,0.47,0.53,0.16,0.50,0.00,0.48,0.27,NUC
118,CEM1_YEAST,0.71,0.59,0.48,0.43,0.50,0.00,0.59,0.22,MIT
119,RLUB_YEAST,0.40,0.42,0.71,0.21,0.50,0.00,0.54,0.32,CYT
120,RLUB_YEAST,0.40,0.42,0.71,0.21,0.50,0.00,0.54,0.32,CYT
121,CLH_YEAST,0.54,0.49,0.49,0.20,0.50,0.00,0.52,0.22,CYT
122,CHL1_YEAST,0.42,0.51,0.50,0.12,0.50,0.00,0.52,0.46,NUC
123,CHL4_YEAST,0.57,0.51,0.53,0.18,0.50,0.00,0.56,0.25,NUC
124,PSS_YEAST,0.35,0.45,0.43,0.11,0.50,0.00,0.56,0.22,ME3
125,CHS1_YEAST,0.26,0.50,0.33,0.28,0.50,0.00,0.51,0.22,ME3
126,CHS3_YEAST,0.26,0.44,0.30,0.11,0.50,0.00,0.51,0.47,ME3
127,CIK1_YEAST,0.31,0.44,0.53,0.23,0.50,0.00,0.51,0.32,NUC
128,CIN1_YEAST,0.48,0.61,0.44,0.20,0.50,0.00,0.47,0.22,CYT
129,CISY_YEAST,0.38,0.68,0.44,0.45,0.50,0.00,0.53,0.22,MIT
130,CISZ_YEAST,0.44,0.38,0.48,0.32,0.50,0.83,0.53,0.22,POX
131,KC22_YEAST,0.49,0.31,0.49,0.35,0.50,0.00,0.51,0.29,NUC
132,KC2C_YEAST,0.38,0.37,0.56,0.21,0.50,0.00,0.49,0.22,NUC
133,KICH_YEAST,0.39,0.40,0.53,0.67,0.50,0.00,0.47,0.22,CYT
134,CLC1_YEAST,0.24,0.34,0.69,0.18,0.50,0.00,0.52,0.22,CYT
135,CG13_YEAST,0.43,0.57,0.53,0.53,0.50,0.00,0.53,0.25,CYT
136,CALM_YEAST,0.48,0.64,0.61,0.23,0.50,0.00,0.60,0.22,CYT
137,KCC1_YEAST,0.31,0.55,0.52,0.17,0.50,0.00,0.52,0.22,CYT
138,KCC2_YEAST,0.32,0.57,0.50,0.15,0.50,0.00,0.53,0.22,CYT
139,P2B1_YEAST,0.32,0.42,0.52,0.24,0.50,0.00,0.60,0.22,CYT
140,P2B2_YEAST,0.59,0.50,0.52,0.28,0.50,0.00,0.55,0.25,CYT
141,CALB_YEAST,0.37,0.42,0.51,0.11,0.50,0.00,0.57,0.22,CYT
142,CALX_YEAST,0.75,0.70,0.38,0.27,0.50,0.00,0.49,0.22,ME1
143,COQ2_YEAST,0.63,0.56,0.45,0.58,0.50,0.00,0.51,0.22,MIT
144,UCR1_YEAST,0.58,0.58,0.58,0.49,0.50,0.00,0.49,0.26,MIT
145,COX1_YEAST,0.72,0.61,0.37,0.30,0.50,0.00,0.57,0.22,MIT
146,COXZ_YEAST,0.57,0.57,0.44,0.37,0.50,0.00,0.52,0.25,MIT
147,COXG_YEAST,0.42,0.31,0.62,0.12,0.50,0.00,0.40,0.22,MIT
148,COXE_YEAST,0.49,0.46,0.45,0.45,0.50,0.00,0.52,0.22,MIT
149,YEX1_YEAST,0.42,0.58,0.41,0.65,0.50,0.00,0.46,0.26,MIT
150,COX4_YEAST,0.50,0.52,0.60,0.51,0.50,0.00,0.48,0.22,MIT
151,COXA_YEAST,0.49,0.60,0.43,0.56,0.50,0.00,0.36,0.22,MIT
152,COXB_YEAST,0.50,0.41,0.44,0.50,0.50,0.00,0.42,0.22,MIT
153,COX6_YEAST,0.50,0.40,0.56,0.70,0.50,0.00,0.50,0.22,MIT
154,COX7_YEAST,0.37,0.58,0.44,0.51,0.50,0.00,0.44,0.22,MIT
155,COX9_YEAST,0.67,0.68,0.46,0.29,0.50,0.00,0.46,0.22,MIT
156,CARA_YEAST,0.53,0.51,0.46,0.28,0.50,0.00,0.48,0.22,CYT
157,CARB_YEAST,0.35,0.66,0.49,0.21,0.50,0.00,0.54,0.25,CYT
158,CYPH_YEAST,0.52,0.40,0.60,0.12,0.50,0.00,0.55,0.22,CYT
159,CYPC_YEAST,0.47,0.46,0.59,0.49,0.50,0.00,0.56,0.22,MIT
160,CYPR_YEAST,0.73,0.83,0.43,0.30,0.50,0.00,0.55,0.22,ME1
161,CYPD_YEAST,0.78,0.74,0.58,0.25,1.00,0.00,0.53,0.22,ERL
162,CBPS_YEAST,0.70,0.65,0.54,0.28,0.50,0.00,0.60,0.40,VAC
163,CPT1_YEAST,0.47,0.54,0.37,0.14,0.50,0.00,0.50,0.22,ME3
164,CRM1_YEAST,0.56,0.52,0.48,0.17,0.50,0.00,0.46,0.22,NUC
165,R141_YEAST,0.57,0.41,0.59,0.24,0.50,0.00,0.40,0.22,CYT
